CodeValue,ShortDescription,Description,Namespace
Attendance award,Attendance award,Attendance award,uri://ed-fi.org/AcademicHonorCategoryDescriptor
Awarding of units of value,Awarding of units of value,Awarding of units of value,uri://ed-fi.org/AcademicHonorCategoryDescriptor
Certificate,Certificate,Certificate,uri://ed-fi.org/AcademicHonorCategoryDescriptor
Citizenship award/recognition,Citizenship award/recognition,Citizenship award/recognition,uri://ed-fi.org/AcademicHonorCategoryDescriptor
"Completion of requirement, but no units awarded","Completion of requirement, but no units of value awarded","Completion of requirement, but no units of value awarded",uri://ed-fi.org/AcademicHonorCategoryDescriptor
Honor award,Honor award,Honor award,uri://ed-fi.org/AcademicHonorCategoryDescriptor
Honor roll,Honor roll,Honor roll,uri://ed-fi.org/AcademicHonorCategoryDescriptor
Honor society,Honor society,Honor society,uri://ed-fi.org/AcademicHonorCategoryDescriptor
Honorable mention,Honorable mention,Honorable mention,uri://ed-fi.org/AcademicHonorCategoryDescriptor
Honors program,Honors program,Honors program,uri://ed-fi.org/AcademicHonorCategoryDescriptor
Letter of student commendation,Letter of student commendation,Letter of student commendation,uri://ed-fi.org/AcademicHonorCategoryDescriptor
Medals,Medals,Medals,uri://ed-fi.org/AcademicHonorCategoryDescriptor
National Merit Scholar,National Merit Scholar,National Merit Scholar,uri://ed-fi.org/AcademicHonorCategoryDescriptor
Other,Other,Other,uri://ed-fi.org/AcademicHonorCategoryDescriptor
Points,Points,Points,uri://ed-fi.org/AcademicHonorCategoryDescriptor
Prize awards,Prize awards,Prize awards,uri://ed-fi.org/AcademicHonorCategoryDescriptor
Promotion or advancement,Promotion or advancement,Promotion or advancement,uri://ed-fi.org/AcademicHonorCategoryDescriptor
Scholarships,Scholarships,Scholarships,uri://ed-fi.org/AcademicHonorCategoryDescriptor
