CodeValue,ShortDescription,Description,Namespace
Advanced Placement,Advanced Placement,Advanced Placement,uri://ed-fi.org/AssessmentCategoryDescriptor
Class quiz,Class quiz,Class quiz,uri://ed-fi.org/AssessmentCategoryDescriptor
Early Learning - Physical well-being and motor dev,Early Learning - Physical well-being and motor development,Early Learning - Physical well-being and motor development,uri://ed-fi.org/AssessmentCategoryDescriptor
Language proficiency test,Language proficiency test,Language proficiency test,uri://ed-fi.org/AssessmentCategoryDescriptor
Psychomotor test,Psychomotor test,Psychomotor test,uri://ed-fi.org/AssessmentCategoryDescriptor
State alternate assessment/ELL,State alternate assessment/ELL,State alternate assessment/ELL,uri://ed-fi.org/AssessmentCategoryDescriptor
Alternate assessment/ELL,Alternate assessment/ELL,Alternate assessment/ELL,uri://ed-fi.org/AssessmentCategoryDescriptor
College entrance exam,College entrance exam,College entrance exam,uri://ed-fi.org/AssessmentCategoryDescriptor
Early Learning - Social and emotional development,Early Learning - Social and emotional development,Early Learning - Social and emotional development,uri://ed-fi.org/AssessmentCategoryDescriptor
Manual dexterity test,Manual dexterity test,Manual dexterity test,uri://ed-fi.org/AssessmentCategoryDescriptor
Reading readiness test,Reading readiness test,Reading readiness test,uri://ed-fi.org/AssessmentCategoryDescriptor
State English proficiency test,State English proficiency test,State English proficiency test,uri://ed-fi.org/AssessmentCategoryDescriptor
Achievement test,Achievement test,Achievement test,uri://ed-fi.org/AssessmentCategoryDescriptor
Class test,Class test,Class test,uri://ed-fi.org/AssessmentCategoryDescriptor
Early Learning - Language and literacy development,Early Learning - Language and literacy development,Early Learning - Language and literacy development,uri://ed-fi.org/AssessmentCategoryDescriptor
International Baccalaureate,International Baccalaureate,International Baccalaureate,uri://ed-fi.org/AssessmentCategoryDescriptor
Psychological test,Psychological test,Psychological test,uri://ed-fi.org/AssessmentCategoryDescriptor
State alternative assessment/modified standards,State alternative assessment/modified standards,State alternative assessment/modified standards,uri://ed-fi.org/AssessmentCategoryDescriptor
Alternative assessment/modified standards,Alternative assessment/modified standards,Alternative assessment/modified standards,uri://ed-fi.org/AssessmentCategoryDescriptor
Developmental observation,Developmental observation,Developmental observation,uri://ed-fi.org/AssessmentCategoryDescriptor
Foreign language proficiency test,Foreign language proficiency test,Foreign language proficiency test,uri://ed-fi.org/AssessmentCategoryDescriptor
Performance assessment,Performance assessment,Performance assessment,uri://ed-fi.org/AssessmentCategoryDescriptor
State summative assessment 3-8 general,State summative assessment 3-8 general,State summative assessment 3-8 general,uri://ed-fi.org/AssessmentCategoryDescriptor
Aptitude test,Aptitude test,Aptitude test,uri://ed-fi.org/AssessmentCategoryDescriptor
Diagnostic,Diagnostic,Diagnostic,uri://ed-fi.org/AssessmentCategoryDescriptor
Formative,Formative,Formative,uri://ed-fi.org/AssessmentCategoryDescriptor
Personality test,Personality test,Personality test,uri://ed-fi.org/AssessmentCategoryDescriptor
State high school subject assessment,State high school subject assessment,State high school subject assessment,uri://ed-fi.org/AssessmentCategoryDescriptor
Benchmark test,Benchmark test,Benchmark test,uri://ed-fi.org/AssessmentCategoryDescriptor
Early Learning - Cognition and general knowledge,Early Learning - Cognition and general knowledge,Early Learning - Cognition and general knowledge,uri://ed-fi.org/AssessmentCategoryDescriptor
Interim,Interim,Interim,uri://ed-fi.org/AssessmentCategoryDescriptor
Prekindergarten Readiness,Prekindergarten Readiness,Prekindergarten Readiness,uri://ed-fi.org/AssessmentCategoryDescriptor
State alternative assessment/grade-level standards,State alternative assessment/grade-level standards,State alternative assessment/grade-level standards,uri://ed-fi.org/AssessmentCategoryDescriptor
Attitudinal test,Attitudinal test,Attitudinal test,uri://ed-fi.org/AssessmentCategoryDescriptor
Early Learning - Approaches toward learning,Early Learning - Approaches toward learning,Early Learning - Approaches toward learning,uri://ed-fi.org/AssessmentCategoryDescriptor
Interest inventory,Interest inventory,Interest inventory,uri://ed-fi.org/AssessmentCategoryDescriptor
Portfolio assessment,Portfolio assessment,Portfolio assessment,uri://ed-fi.org/AssessmentCategoryDescriptor
State high school course assessment,State high school course assessment,State high school course assessment,uri://ed-fi.org/AssessmentCategoryDescriptor
Alternate assessment/grade-level standards,Alternate assessment/grade-level standards,Alternate assessment/grade-level standards,uri://ed-fi.org/AssessmentCategoryDescriptor
Cognitive and perceptual skills test,Cognitive and perceptual skills test,Cognitive and perceptual skills test,uri://ed-fi.org/AssessmentCategoryDescriptor
English proficiency screening test,English proficiency screening test,English proficiency screening test,uri://ed-fi.org/AssessmentCategoryDescriptor
Mental ability (intelligence) test,Mental ability (intelligence) test,Mental ability (intelligence) test,uri://ed-fi.org/AssessmentCategoryDescriptor
State assessment,State assessment,State assessment,uri://ed-fi.org/AssessmentCategoryDescriptor
Other,Other,Other,uri://ed-fi.org/AssessmentCategoryDescriptor
