CodeValue,ShortDescription,Description,Namespace
"Agriculture, Food and Natural Resources","Agriculture, Food and Natural Resources","Agriculture, Food and Natural Resources",uri://ed-fi.org/CTEProgramServiceDescriptor
Architecture and Construction,Architecture and Construction,Architecture and Construction,uri://ed-fi.org/CTEProgramServiceDescriptor
"Arts, A/V Technology and Communications","Arts, A/V Technology and Communications","Arts, A/V Technology and Communications",uri://ed-fi.org/CTEProgramServiceDescriptor
"Business, Management and Administration","Business, Management and Administration","Business, Management and Administration",uri://ed-fi.org/CTEProgramServiceDescriptor
Education and Training,Education and Training,Education and Training,uri://ed-fi.org/CTEProgramServiceDescriptor
Finance,Finance,Finance,uri://ed-fi.org/CTEProgramServiceDescriptor
Government and Public Administration,Government and Public Administration,Government and Public Administration,uri://ed-fi.org/CTEProgramServiceDescriptor
Health Science,Health Science,Health Science,uri://ed-fi.org/CTEProgramServiceDescriptor
Hospitality and Tourism,Hospitality and Tourism,Hospitality and Tourism,uri://ed-fi.org/CTEProgramServiceDescriptor
Human Services,Human Services,Human Services,uri://ed-fi.org/CTEProgramServiceDescriptor
Information Technology,Information Technology,Information Technology,uri://ed-fi.org/CTEProgramServiceDescriptor
"Law, Public Safety, Corrections and Security","Law, Public Safety, Corrections and Security","Law, Public Safety, Corrections and Security",uri://ed-fi.org/CTEProgramServiceDescriptor
Manufacturing,Manufacturing,Manufacturing,uri://ed-fi.org/CTEProgramServiceDescriptor
"Marketing, Sales and Service","Marketing, Sales and Service","Marketing, Sales and Service",uri://ed-fi.org/CTEProgramServiceDescriptor
Other,Other,Other,uri://ed-fi.org/CTEProgramServiceDescriptor
"Science, Technology, Engineering and Mathematics","Science, Technology, Engineering and Mathematics","Science, Technology, Engineering and Mathematics",uri://ed-fi.org/CTEProgramServiceDescriptor
"Transportation, Distribution and Logistics","Transportation, Distribution and Logistics","Transportation, Distribution and Logistics",uri://ed-fi.org/CTEProgramServiceDescriptor
