CodeValue,ShortDescription,Description,Namespace
Accepted as high school equivalent,Accepted as high school equivalent,Accepted as high school equivalent,uri://ed-fi.org/CourseLevelCharacteristicDescriptor
Advanced,Advanced,Advanced,uri://ed-fi.org/CourseLevelCharacteristicDescriptor
Advanced Placement,Advanced Placement,Advanced Placement,uri://ed-fi.org/CourseLevelCharacteristicDescriptor
Basic,Basic,Basic,uri://ed-fi.org/CourseLevelCharacteristicDescriptor
Career and Technical Education,Career and Technical Education,Career and Technical Education,uri://ed-fi.org/CourseLevelCharacteristicDescriptor
College-level,College-level,College-level,uri://ed-fi.org/CourseLevelCharacteristicDescriptor
Core Subject,Core Subject,Core Subject,uri://ed-fi.org/CourseLevelCharacteristicDescriptor
Correspondence,Correspondence,Correspondence,uri://ed-fi.org/CourseLevelCharacteristicDescriptor
Distance Learning,Distance Learning,Distance Learning,uri://ed-fi.org/CourseLevelCharacteristicDescriptor
Dual Credit,Dual Credit,Dual Credit,uri://ed-fi.org/CourseLevelCharacteristicDescriptor
English Language Learner,English Language Learner,English Language Learner,uri://ed-fi.org/CourseLevelCharacteristicDescriptor
General,General,General,uri://ed-fi.org/CourseLevelCharacteristicDescriptor
Gifted and Talented,Gifted and Talented,Gifted and Talented,uri://ed-fi.org/CourseLevelCharacteristicDescriptor
Graduation Credit,Graduation Credit,Graduation Credit,uri://ed-fi.org/CourseLevelCharacteristicDescriptor
Honors,Honors,Honors,uri://ed-fi.org/CourseLevelCharacteristicDescriptor
International Baccalaureate,International Baccalaureate,International Baccalaureate,uri://ed-fi.org/CourseLevelCharacteristicDescriptor
Magnet,Magnet,Magnet,uri://ed-fi.org/CourseLevelCharacteristicDescriptor
Other,Other,Other,uri://ed-fi.org/CourseLevelCharacteristicDescriptor
Pre-AP,Pre-AP,Pre-AP,uri://ed-fi.org/CourseLevelCharacteristicDescriptor
Pre-IB,Pre-IB,Pre-IB,uri://ed-fi.org/CourseLevelCharacteristicDescriptor
Remedial,Remedial,Remedial,uri://ed-fi.org/CourseLevelCharacteristicDescriptor
Students with disabilities,Students with disabilities,Students with disabilities,uri://ed-fi.org/CourseLevelCharacteristicDescriptor
Untracked,Untracked,Untracked,uri://ed-fi.org/CourseLevelCharacteristicDescriptor
