CodeValue,Description,Namespace,ShortDescription,EffectiveBeginDate,EffectiveEndDate
Computer Science,Computer Science,uri://ed-fi.org/CredentialFieldDescriptor,Computer Science,,
Agricultural Science and Technology,Agricultural Science and Technology,uri://ed-fi.org/CredentialFieldDescriptor,Agricultural Science and Technology,,
Bilingual,Bilingual,uri://ed-fi.org/CredentialFieldDescriptor,Bilingual,,
Mathematics,Mathematics,uri://ed-fi.org/CredentialFieldDescriptor,Mathematics,,
Life and Physical Sciences,Life and Physical Sciences,uri://ed-fi.org/CredentialFieldDescriptor,Life and Physical Sciences,,
Art,Art,uri://ed-fi.org/CredentialFieldDescriptor,Art,,
Generalist,Generalist,uri://ed-fi.org/CredentialFieldDescriptor,Generalist,,
Social Studies,Social Studies,uri://ed-fi.org/CredentialFieldDescriptor,Social Studies,,
Music,Music,uri://ed-fi.org/CredentialFieldDescriptor,Music,,
Physical Education,Physical Education,uri://ed-fi.org/CredentialFieldDescriptor,Physical Education,,
Health,Health,uri://ed-fi.org/CredentialFieldDescriptor,Health,,
Psychology,Psychology,uri://ed-fi.org/CredentialFieldDescriptor,Psychology,,
Bilingual Generalist-Spanish,Bilingual Generalist-Spanish,uri://ed-fi.org/CredentialFieldDescriptor,Bilingual Generalist-Spanish,,
Elementary Education,Elementary Education,uri://ed-fi.org/CredentialFieldDescriptor,Elementary Education,,
Master Teacher,Master Teacher,uri://ed-fi.org/CredentialFieldDescriptor,Master Teacher,,
