CodeValue,ShortDescription,Description,Namespace
Alternative credential,Alternative credential,Alternative credential,uri://ed-fi.org/DiplomaTypeDescriptor
Apprenticeship Certificate,Apprenticeship Certificate,Apprenticeship Certificate,uri://ed-fi.org/DiplomaTypeDescriptor
Career and Technical Education certificate,Career and Technical Education certificate,Career and Technical Education certificate,uri://ed-fi.org/DiplomaTypeDescriptor
Certificate of attendance,Certificate of attendance,Certificate of attendance,uri://ed-fi.org/DiplomaTypeDescriptor
Certificate of completion,Certificate of completion,Certificate of completion,uri://ed-fi.org/DiplomaTypeDescriptor
Endorsed/advanced diploma,Endorsed/advanced diploma,Endorsed/advanced diploma,uri://ed-fi.org/DiplomaTypeDescriptor
General Educational Development (GED) credential,General Educational Development (GED) credential,General Educational Development (GED) credential,uri://ed-fi.org/DiplomaTypeDescriptor
"High school equivalency credential, other than GED","High school equivalency credential, other than GED","High school equivalency credential, other than GED",uri://ed-fi.org/DiplomaTypeDescriptor
Industry-recognized Certification,Industry-recognized Certification,Industry-recognized Certification,uri://ed-fi.org/DiplomaTypeDescriptor
International Baccalaureate,International Baccalaureate,International Baccalaureate,uri://ed-fi.org/DiplomaTypeDescriptor
Modified diploma,Modified diploma,Modified diploma,uri://ed-fi.org/DiplomaTypeDescriptor
Occupational License,Occupational License,Occupational License,uri://ed-fi.org/DiplomaTypeDescriptor
Other,Other,Other,uri://ed-fi.org/DiplomaTypeDescriptor
Other diploma,Other diploma,Other diploma,uri://ed-fi.org/DiplomaTypeDescriptor
Post graduate certificate (grade 13),Post graduate certificate (grade 13),Post graduate certificate (grade 13),uri://ed-fi.org/DiplomaTypeDescriptor
Regents diploma,Regents diploma,Regents diploma,uri://ed-fi.org/DiplomaTypeDescriptor
Regular diploma,Regular diploma,Regular diploma,uri://ed-fi.org/DiplomaTypeDescriptor
