CodeValue,ShortDescription,Description,Namespace
504 Plan,504 Plan,504 Plan,uri://ed-fi.org/EducationPlanDescriptor
Career Pathways,Career Pathways,Career Pathways,uri://ed-fi.org/EducationPlanDescriptor
Career Suggestions,Career Suggestions,Career Suggestions,uri://ed-fi.org/EducationPlanDescriptor
Completion and Reach Age 22,Completion and Reach Age 22,Completion and Reach Age 22,uri://ed-fi.org/EducationPlanDescriptor
Employability Skills,Employability Skills,Employability Skills,uri://ed-fi.org/EducationPlanDescriptor
Full Time Employment,Full Time Employment,Full Time Employment,uri://ed-fi.org/EducationPlanDescriptor
High School Education Plan,High School Education Plan,High School Education Plan,uri://ed-fi.org/EducationPlanDescriptor
IDEA IEP,IDEA IEP,IDEA IEP,uri://ed-fi.org/EducationPlanDescriptor
Other,Other,Other,uri://ed-fi.org/EducationPlanDescriptor
Outside Service Access,Outside Service Access,Outside Service Access,uri://ed-fi.org/EducationPlanDescriptor
Personal Graduation Plan,Personal Graduation Plan,Personal Graduation Plan,uri://ed-fi.org/EducationPlanDescriptor
Student Success Plan,Student Success Plan,Student Success Plan,uri://ed-fi.org/EducationPlanDescriptor
