CodeValue,ShortDescription,Description,Namespace
End of Year,End of Year,End of Year,uri://ed-fi.org/GradingPeriodDescriptor
Fifth Six Weeks,Fifth Six Weeks,Fifth Six Weeks,uri://ed-fi.org/GradingPeriodDescriptor
First Nine Weeks,First Nine Weeks,First Nine Weeks,uri://ed-fi.org/GradingPeriodDescriptor
First Semester,First Semester,First Semester,uri://ed-fi.org/GradingPeriodDescriptor
First Six Weeks,First Six Weeks,First Six Weeks,uri://ed-fi.org/GradingPeriodDescriptor
First Summer Session,First Summer Session,First Summer Session,uri://ed-fi.org/GradingPeriodDescriptor
First Trimester,First Trimester,First Trimester,uri://ed-fi.org/GradingPeriodDescriptor
Fourth Nine Weeks,Fourth Nine Weeks,Fourth Nine Weeks,uri://ed-fi.org/GradingPeriodDescriptor
Fourth Six Weeks,Fourth Six Weeks,Fourth Six Weeks,uri://ed-fi.org/GradingPeriodDescriptor
Second Nine Weeks,Second Nine Weeks,Second Nine Weeks,uri://ed-fi.org/GradingPeriodDescriptor
Second Semester,Second Semester,Second Semester,uri://ed-fi.org/GradingPeriodDescriptor
Second Six Weeks,Second Six Weeks,Second Six Weeks,uri://ed-fi.org/GradingPeriodDescriptor
Second Summer Session,Second Summer Session,Second Summer Session,uri://ed-fi.org/GradingPeriodDescriptor
Second Trimester,Second Trimester,Second Trimester,uri://ed-fi.org/GradingPeriodDescriptor
Sixth Six Weeks,Sixth Six Weeks,Sixth Six Weeks,uri://ed-fi.org/GradingPeriodDescriptor
Summer Semester,Summer Semester,Summer Semester,uri://ed-fi.org/GradingPeriodDescriptor
Third Nine Weeks,Third Nine Weeks,Third Nine Weeks,uri://ed-fi.org/GradingPeriodDescriptor
Third Six Weeks,Third Six Weeks,Third Six Weeks,uri://ed-fi.org/GradingPeriodDescriptor
Third Summer Session,Third Summer Session,Third Summer Session,uri://ed-fi.org/GradingPeriodDescriptor
Third Trimester,Third Trimester,Third Trimester,uri://ed-fi.org/GradingPeriodDescriptor
