CodeValue,ShortDescription,Description,Namespace
Dual Language,Dual Language,Dual Language,uri://ed-fi.org/LanguageInstructionProgramServiceDescriptor
Two-Way Immersion,Two-Way Immersion,Two-Way Immersion,uri://ed-fi.org/LanguageInstructionProgramServiceDescriptor
Transitional Bilingual,Transitional Bilingual,Transitional Bilingual,uri://ed-fi.org/LanguageInstructionProgramServiceDescriptor
Developmental Bilingual,Developmental Bilingual,Developmental Bilingual,uri://ed-fi.org/LanguageInstructionProgramServiceDescriptor
Heritage Language,Heritage Language,Heritage Language,uri://ed-fi.org/LanguageInstructionProgramServiceDescriptor
Sheltered English Instruction,Sheltered English Instruction,Sheltered English Instruction,uri://ed-fi.org/LanguageInstructionProgramServiceDescriptor
Structured English Immersion,Structured English Immersion,Structured English Immersion,uri://ed-fi.org/LanguageInstructionProgramServiceDescriptor
SDAIE,SDAIE - Specially Designed Academic Instruction Delivered In English,SDAIE - Specially Designed Academic Instruction Delivered In English,uri://ed-fi.org/LanguageInstructionProgramServiceDescriptor
Content-Based ESL,Content-Based ESL,Content-Based ESL,uri://ed-fi.org/LanguageInstructionProgramServiceDescriptor
Pull-Out ESL,Pull-Out ESL,Pull-Out ESL,uri://ed-fi.org/LanguageInstructionProgramServiceDescriptor
Other,Other,Other,uri://ed-fi.org/LanguageInstructionProgramServiceDescriptor
