CodeValue,ShortDescription,Description,Namespace
Before- and After-School Programs,Before- and After-School Programs,Before- and After-School Programs,uri://ed-fi.org/LicenseTypeDescriptor
Child Care Center,Child Care Center,Child Care Center,uri://ed-fi.org/LicenseTypeDescriptor
Child Care Program,Child Care Program,Child Care Program,uri://ed-fi.org/LicenseTypeDescriptor
Child Placing Agency,Child Placing Agency,Child Placing Agency,uri://ed-fi.org/LicenseTypeDescriptor
Day Treatment Program,Day Treatment Program,Day Treatment Program,uri://ed-fi.org/LicenseTypeDescriptor
Family Child Care Home,Family Child Care Home,Family Child Care Home,uri://ed-fi.org/LicenseTypeDescriptor
Independent Foster Home,Independent Foster Home,Independent Foster Home,uri://ed-fi.org/LicenseTypeDescriptor
Large Family Child Care Home,Large Family Child Care Home,Large Family Child Care Home,uri://ed-fi.org/LicenseTypeDescriptor
Night Care,Night Care,Night Care,uri://ed-fi.org/LicenseTypeDescriptor
Purchase of Care,Purchase of Care,Purchase of Care,uri://ed-fi.org/LicenseTypeDescriptor
Residential Child Care,Residential Child Care,Residential Child Care,uri://ed-fi.org/LicenseTypeDescriptor
School Age Program,School Age Program,School Age Program,uri://ed-fi.org/LicenseTypeDescriptor
Shelter Care,Shelter Care,Shelter Care,uri://ed-fi.org/LicenseTypeDescriptor
Specialized Day Care,Specialized Day Care,Specialized Day Care,uri://ed-fi.org/LicenseTypeDescriptor
Temporary Shelter Care,Temporary Shelter Care,Temporary Shelter Care,uri://ed-fi.org/LicenseTypeDescriptor
