CodeValue,ShortDescription,Description,Namespace
Adult/Continuing Education,Adult/Continuing Education,Adult/Continuing Education,uri://ed-fi.org/ProgramTypeDescriptor
Alternative Education,Alternative Education,Alternative Education,uri://ed-fi.org/ProgramTypeDescriptor
Athletics,Athletics,Athletics,uri://ed-fi.org/ProgramTypeDescriptor
Bilingual,Bilingual,Bilingual,uri://ed-fi.org/ProgramTypeDescriptor
Bilingual Summer,Bilingual Summer,Bilingual Summer,uri://ed-fi.org/ProgramTypeDescriptor
Career and Technical Education,Career and Technical Education,Career and Technical Education,uri://ed-fi.org/ProgramTypeDescriptor
Cocurricular Programs,Cocurricular Programs,Cocurricular Programs,uri://ed-fi.org/ProgramTypeDescriptor
College Preparatory,College Preparatory,College Preparatory,uri://ed-fi.org/ProgramTypeDescriptor
Community Service Program,Community Service Program,Community Service Program,uri://ed-fi.org/ProgramTypeDescriptor
Community/Junior College Education Program,Community/Junior College Education Program,Community/Junior College Education Program,uri://ed-fi.org/ProgramTypeDescriptor
Compensatory Services for Disadvantaged Students,Compensatory Services for Disadvantaged Students,Compensatory Services for Disadvantaged Students,uri://ed-fi.org/ProgramTypeDescriptor
Counseling Services,Counseling Services,Counseling Services,uri://ed-fi.org/ProgramTypeDescriptor
District-Funded GED,District-Funded GED,District-Funded GED,uri://ed-fi.org/ProgramTypeDescriptor
Early Head Start,Early Head Start,Early Head Start,uri://ed-fi.org/ProgramTypeDescriptor
Early Intervention Services Part C,Early Intervention Services Part C,Early Intervention Services Part C,uri://ed-fi.org/ProgramTypeDescriptor
English as a Second Language (ESL),English as a Second Language (ESL),English as a Second Language (ESL),uri://ed-fi.org/ProgramTypeDescriptor
Even Start,Even Start,Even Start,uri://ed-fi.org/ProgramTypeDescriptor
Expelled Education,Expelled Education,Expelled Education,uri://ed-fi.org/ProgramTypeDescriptor
Extended Day/Child Care Services,Extended Day/Child Care Services,Extended Day/Child Care Services,uri://ed-fi.org/ProgramTypeDescriptor
Fee For Service,Fee For Service,Fee For Service,uri://ed-fi.org/ProgramTypeDescriptor
Foreign Exchange,Foreign Exchange,Foreign Exchange,uri://ed-fi.org/ProgramTypeDescriptor
Gifted and Talented,Gifted and Talented,Gifted and Talented,uri://ed-fi.org/ProgramTypeDescriptor
Head Start,Head Start,Head Start,uri://ed-fi.org/ProgramTypeDescriptor
Health Services Program,Health Services Program,Health Services Program,uri://ed-fi.org/ProgramTypeDescriptor
High School Equivalency Program (HSEP),High School Equivalency Program (HSEP),High School Equivalency Program (HSEP),uri://ed-fi.org/ProgramTypeDescriptor
Home Visiting,Home Visiting,Home Visiting,uri://ed-fi.org/ProgramTypeDescriptor
Homeless,Homeless,Homeless,uri://ed-fi.org/ProgramTypeDescriptor
IDEA,IDEA,IDEA,uri://ed-fi.org/ProgramTypeDescriptor
Immigrant Education,Immigrant Education,Immigrant Education,uri://ed-fi.org/ProgramTypeDescriptor
Independent Study,Independent Study,Independent Study,uri://ed-fi.org/ProgramTypeDescriptor
