CodeValue,ShortDescription,Description,Namespace
Adult School,Adult School,Adult School,uri://ed-fi.org/SchoolCategoryDescriptor
All Levels,All Levels,All Levels,uri://ed-fi.org/SchoolCategoryDescriptor
Elementary School,Elementary School,Elementary School,uri://ed-fi.org/SchoolCategoryDescriptor
Elementary/Secondary School,Elementary/Secondary School,Elementary/Secondary School,uri://ed-fi.org/SchoolCategoryDescriptor
High School,High School,High School,uri://ed-fi.org/SchoolCategoryDescriptor
Infant/toddler School,Infant/toddler School,Infant/toddler School,uri://ed-fi.org/SchoolCategoryDescriptor
Intermediate School,Intermediate School,Intermediate School,uri://ed-fi.org/SchoolCategoryDescriptor
Junior High School,Junior High School,Junior High School,uri://ed-fi.org/SchoolCategoryDescriptor
Middle School,Middle School,Middle School,uri://ed-fi.org/SchoolCategoryDescriptor
Other Combination,Other Combination,Other Combination,uri://ed-fi.org/SchoolCategoryDescriptor
Other Secondary,Other Secondary,Other Secondary,uri://ed-fi.org/SchoolCategoryDescriptor
Preschool/early childhood,Preschool/early childhood,Preschool/early childhood,uri://ed-fi.org/SchoolCategoryDescriptor
Primary School,Primary School,Primary School,uri://ed-fi.org/SchoolCategoryDescriptor
SecondarySchool,SecondarySchool,SecondarySchool,uri://ed-fi.org/SchoolCategoryDescriptor
Ungraded,Ungraded,Ungraded,uri://ed-fi.org/SchoolCategoryDescriptor
