CodeValue,ShortDescription,Description,Namespace
Canadian SIN,Canadian SIN,Canadian SIN,uri://ed-fi.org/StaffIdentificationSystemDescriptor
District,District,District,uri://ed-fi.org/StaffIdentificationSystemDescriptor
Drivers License,Drivers License,Drivers License,uri://ed-fi.org/StaffIdentificationSystemDescriptor
Federal,Federal,Federal,uri://ed-fi.org/StaffIdentificationSystemDescriptor
Health Record,Health Record,Health Record,uri://ed-fi.org/StaffIdentificationSystemDescriptor
Medicaid,Medicaid,Medicaid,uri://ed-fi.org/StaffIdentificationSystemDescriptor
Other,Other,Other,uri://ed-fi.org/StaffIdentificationSystemDescriptor
Other Federal,Other Federal,Other Federal,uri://ed-fi.org/StaffIdentificationSystemDescriptor
PIN,PIN,PIN,uri://ed-fi.org/StaffIdentificationSystemDescriptor
Professional Certificate,Professional Certificate,Professional Certificate,uri://ed-fi.org/StaffIdentificationSystemDescriptor
School,School,School,uri://ed-fi.org/StaffIdentificationSystemDescriptor
Selective Service,Selective Service,Selective Service,uri://ed-fi.org/StaffIdentificationSystemDescriptor
SSN,SSN,SSN,uri://ed-fi.org/StaffIdentificationSystemDescriptor
State,State,State,uri://ed-fi.org/StaffIdentificationSystemDescriptor
US Visa,US Visa,US Visa,uri://ed-fi.org/StaffIdentificationSystemDescriptor
