CodeValue,ShortDescription,Description,Namespace
Asylee,Asylee,Asylee,uri://ed-fi.org/StudentCharacteristicDescriptor
Displaced Homemaker,Displaced Homemaker,Displaced Homemaker,uri://ed-fi.org/StudentCharacteristicDescriptor
Foster Care,Foster Care,Foster Care,uri://ed-fi.org/StudentCharacteristicDescriptor
Homeless,Homeless,Homeless,uri://ed-fi.org/StudentCharacteristicDescriptor
Immigrant,Immigrant,Immigrant,uri://ed-fi.org/StudentCharacteristicDescriptor
Parent in Military,Parent in Military,Parent in Military,uri://ed-fi.org/StudentCharacteristicDescriptor
Pregnant,Pregnant,Pregnant,uri://ed-fi.org/StudentCharacteristicDescriptor
Refugee,Refugee,Refugee,uri://ed-fi.org/StudentCharacteristicDescriptor
Runaway,Runaway,Runaway,uri://ed-fi.org/StudentCharacteristicDescriptor
Single Parent,Single Parent,Single Parent,uri://ed-fi.org/StudentCharacteristicDescriptor
Unaccompanied Youth,Unaccompanied Youth,Unaccompanied Youth,uri://ed-fi.org/StudentCharacteristicDescriptor
Other,Other,Other,uri://ed-fi.org/StudentCharacteristicDescriptor
Displaced,Displaced,Displaced,uri://ed-fi.org/StudentCharacteristicDescriptor
Economic Disadvantaged,Economic Disadvantaged,Economic Disadvantaged,uri://ed-fi.org/StudentCharacteristicDescriptor
