CodeValue,ShortDescription,Description,Namespace
Club,Club,Club,uri://ed-fi.org/WeaponDescriptor
Handgun,Handgun,Handgun,uri://ed-fi.org/WeaponDescriptor
Knife,Knife,Knife,uri://ed-fi.org/WeaponDescriptor
Other,Other,Other,uri://ed-fi.org/WeaponDescriptor
Other Firearm,Other Firearm,Other Firearm,uri://ed-fi.org/WeaponDescriptor
Other Object,Other Object,Other Object,uri://ed-fi.org/WeaponDescriptor
Other Sharp Objects,Other Sharp Objects,Other Sharp Objects,uri://ed-fi.org/WeaponDescriptor
Rifle/Shotgun,Rifle/Shotgun,Rifle/Shotgun,uri://ed-fi.org/WeaponDescriptor
Substance Used as Weapon,Substance Used as Weapon,Substance Used as Weapon,uri://ed-fi.org/WeaponDescriptor
Unknown,Unknown,Unknown,uri://ed-fi.org/WeaponDescriptor
