id,BeginDate,EndDate,TotalInstructionalDays,PeriodSequence,GradingPeriod1,SchoolReference.id,SchoolReference.ref,SchoolReference.SchoolIdentity.SchoolId,SchoolYear
GRDP_20160822_255901001,8/22/16 00:00,9/30/16 00:00,18,1,uri://ed-fi.org/GradingPeriodDescriptor#First Six Weeks,,,255901001,2016-2017
GRDP_20161003_255901001,10/3/16 00:00,11/11/16 00:00,18,2,uri://ed-fi.org/GradingPeriodDescriptor#Second Six Weeks,,,255901001,2016-2017
GRDP_20161114_255901001,11/14/16 00:00,12/16/16 00:00,14,3,uri://ed-fi.org/GradingPeriodDescriptor#Third Six Weeks,,,255901001,2016-2017
GRDP_20170103_255901001,1/3/17 00:00,2/13/17 00:00,18,4,uri://ed-fi.org/GradingPeriodDescriptor#Fourth Six Weeks,,,255901001,2016-2017
GRDP_20170214_255901001,2/14/17 00:00,3/27/17 00:00,18,5,uri://ed-fi.org/GradingPeriodDescriptor#Fifth Six Weeks,,,255901001,2016-2017
GRDP_20170328_255901001,3/28/17 00:00,5/8/17 00:00,18,6,uri://ed-fi.org/GradingPeriodDescriptor#Sixth Six Weeks,,,255901001,2016-2017
GRDP_20160822_255901002,8/22/16 00:00,9/30/16 00:00,18,1,uri://ed-fi.org/GradingPeriodDescriptor#First Six Weeks,,,255901002,2016-2017
GRDP_20161003_255901002,10/3/16 00:00,11/11/16 00:00,18,2,uri://ed-fi.org/GradingPeriodDescriptor#Second Six Weeks,,,255901002,2016-2017
GRDP_20161114_255901002,11/14/16 00:00,12/16/16 00:00,14,3,uri://ed-fi.org/GradingPeriodDescriptor#Third Six Weeks,,,255901002,2016-2017
GRDP_20170103_255901002,1/3/17 00:00,2/13/17 00:00,18,4,uri://ed-fi.org/GradingPeriodDescriptor#Fourth Six Weeks,,,255901002,2016-2017
GRDP_20170214_255901002,2/14/17 00:00,3/27/17 00:00,18,5,uri://ed-fi.org/GradingPeriodDescriptor#Fifth Six Weeks,,,255901002,2016-2017
GRDP_20170328_255901002,3/28/17 00:00,5/8/17 00:00,18,6,uri://ed-fi.org/GradingPeriodDescriptor#Sixth Six Weeks,,,255901002,2016-2017
GRDP_20160822_255901003,8/22/16 00:00,9/30/16 00:00,18,1,uri://ed-fi.org/GradingPeriodDescriptor#First Six Weeks,,,255901003,2016-2017
GRDP_20161003_255901003,10/3/16 00:00,11/11/16 00:00,18,2,uri://ed-fi.org/GradingPeriodDescriptor#Second Six Weeks,,,255901003,2016-2017
GRDP_20161114_255901003,11/14/16 00:00,12/16/16 00:00,14,3,uri://ed-fi.org/GradingPeriodDescriptor#Third Six Weeks,,,255901003,2016-2017
GRDP_20170103_255901003,1/3/17 00:00,2/13/17 00:00,18,4,uri://ed-fi.org/GradingPeriodDescriptor#Fourth Six Weeks,,,255901003,2016-2017
GRDP_20170214_255901003,2/14/17 00:00,3/27/17 00:00,18,5,uri://ed-fi.org/GradingPeriodDescriptor#Fifth Six Weeks,,,255901003,2016-2017
GRDP_20170328_255901003,3/28/17 00:00,5/8/17 00:00,18,6,uri://ed-fi.org/GradingPeriodDescriptor#Sixth Six Weeks,,,255901003,2016-2017
GRDP_20160822_255901004,8/22/16 00:00,9/30/16 00:00,18,1,uri://ed-fi.org/GradingPeriodDescriptor#First Six Weeks,,,255901004,2016-2017
GRDP_20161003_255901004,10/3/16 00:00,11/11/16 00:00,18,2,uri://ed-fi.org/GradingPeriodDescriptor#Second Six Weeks,,,255901004,2016-2017
GRDP_20161114_255901004,11/14/16 00:00,12/16/16 00:00,14,3,uri://ed-fi.org/GradingPeriodDescriptor#Third Six Weeks,,,255901004,2016-2017
GRDP_20170103_255901004,1/3/17 00:00,2/13/17 00:00,18,4,uri://ed-fi.org/GradingPeriodDescriptor#Fourth Six Weeks,,,255901004,2016-2017
GRDP_20170214_255901004,2/14/17 00:00,3/27/17 00:00,18,5,uri://ed-fi.org/GradingPeriodDescriptor#Fifth Six Weeks,,,255901004,2016-2017
GRDP_20170328_255901004,3/28/17 00:00,5/8/17 00:00,18,6,uri://ed-fi.org/GradingPeriodDescriptor#Sixth Six Weeks,,,255901004,2016-2017
GRDP_20160822_255901005,8/22/16 00:00,9/30/16 00:00,18,1,uri://ed-fi.org/GradingPeriodDescriptor#First Six Weeks,,,255901005,2016-2017
GRDP_20161003_255901005,10/3/16 00:00,11/11/16 00:00,18,2,uri://ed-fi.org/GradingPeriodDescriptor#Second Six Weeks,,,255901005,2016-2017
GRDP_20161114_255901005,11/14/16 00:00,12/16/16 00:00,14,3,uri://ed-fi.org/GradingPeriodDescriptor#Third Six Weeks,,,255901005,2016-2017
GRDP_20170103_255901005,1/3/17 00:00,2/13/17 00:00,18,4,uri://ed-fi.org/GradingPeriodDescriptor#Fourth Six Weeks,,,255901005,2016-2017
GRDP_20170214_255901005,2/14/17 00:00,3/27/17 00:00,18,5,uri://ed-fi.org/GradingPeriodDescriptor#Fifth Six Weeks,,,255901005,2016-2017
GRDP_20170328_255901005,3/28/17 00:00,5/8/17 00:00,18,6,uri://ed-fi.org/GradingPeriodDescriptor#Sixth Six Weeks,,,255901005,2016-2017
