id,SessionName,SchoolYear,BeginDate,EndDate,TotalInstructionalDays,Term,SchoolReference.id,SchoolReference.ref,SchoolReference.SchoolIdentity.SchoolId,GradingPeriodReference.id,GradingPeriodReference.ref,GradingPeriodReference.GradingPeriodIdentity.GradingPeriod,GradingPeriodReference.GradingPeriodIdentity.PeriodSequence,GradingPeriodReference.GradingPeriodIdentity.SchoolYear
SESS_20160822_255901001,2016 - 2017 Fall Semester,2016-2017,8/22/16 00:00,12/16/16 00:00,50,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,GRDP_20160822_255901001,uri://ed-fi.org/GradingPeriodDescriptor#First Six Weeks,1,2016-2017
SESS_20170103_255901001,2016 - 2017 Spring Semester,2016-2017,1/3/17 00:00,5/8/17 00:00,54,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,GRDP_20170103_255901001,uri://ed-fi.org/GradingPeriodDescriptor#Fourth Six Weeks,4,2016-2017
SESS_20160822_255901002,2016 - 2017 Fall Semester,2016-2017,8/22/16 00:00,12/16/16 00:00,50,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901002,,GRDP_20160822_255901002,uri://ed-fi.org/GradingPeriodDescriptor#First Six Weeks,1,2016-2017
SESS_20170103_255901002,2016 - 2017 Spring Semester,2016-2017,1/3/17 00:00,5/8/17 00:00,54,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901002,,GRDP_20170103_255901002,uri://ed-fi.org/GradingPeriodDescriptor#Fourth Six Weeks,4,2016-2017
SESS_20160822_255901003,2016 - 2017 Fall Semester,2016-2017,8/22/16 00:00,12/16/16 00:00,50,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901003,,GRDP_20160822_255901003,uri://ed-fi.org/GradingPeriodDescriptor#First Six Weeks,1,2016-2017
SESS_20170103_255901003,2016 - 2017 Spring Semester,2016-2017,1/3/17 00:00,5/8/17 00:00,54,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901003,,GRDP_20170103_255901003,uri://ed-fi.org/GradingPeriodDescriptor#Fourth Six Weeks,4,2016-2017
SESS_20160822_255901004,2016 - 2017 Fall Semester,2016-2017,8/22/16 00:00,12/16/16 00:00,50,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901004,,GRDP_20160822_255901004,uri://ed-fi.org/GradingPeriodDescriptor#First Six Weeks,1,2016-2017
SESS_20170103_255901004,2016 - 2017 Spring Semester,2016-2017,1/3/17 00:00,5/8/17 00:00,54,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901004,,GRDP_20170103_255901004,uri://ed-fi.org/GradingPeriodDescriptor#Fourth Six Weeks,4,2016-2017
SESS_20160822_255901005,2016 - 2017 Fall Semester,2016-2017,8/22/16 00:00,12/16/16 00:00,50,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901005,,GRDP_20160822_255901005,uri://ed-fi.org/GradingPeriodDescriptor#First Six Weeks,1,2016-2017
SESS_20170103_255901005,2016 - 2017 Spring Semester,2016-2017,1/3/17 00:00,5/8/17 00:00,54,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901005,,GRDP_20170103_255901005,uri://ed-fi.org/GradingPeriodDescriptor#Fourth Six Weeks,4,2016-2017
