Name,Frequency
Aaliyah,0.015746181
Abigail,0.009635723
Adrianna,0.002585194
Aicha,0.005405405
Aisha,0.003525264
Aissatou,0.003055229
Alana,0.003760282
Alexandria,0.002350176
Alexis,0.003055229
Aliyah,0.005405405
Alyssa,0.005640423
Amara,0.002820212
Amaya,0.007755582
Amelia,0.006580494
Amia,0.002350176
Amina,0.006345476
Aminata,0.006815511
Amira,0.003525264
Amirah,0.002350176
Amiya,0.002350176
Amiyah,0.004230317
Angelina,0.003290247
Aniya,0.002585194
Aniyah,0.0039953
Annabelle,0.003290247
Aria,0.004465335
Ariana,0.005640423
Arianna,0.008695652
Ariel,0.010575793
Arielle,0.003525264
Ashley,0.0039953
Aubree,0.002820212
Aubrey,0.00493537
Autumn,0.009635723
Ava,0.018331375
Avery,0.005875441
Bella,0.003525264
Blessing,0.002585194
Brianna,0.005640423
Brielle,0.007050529
Brooke,0.002585194
Brooklyn,0.003290247
Cali,0.0039953
Chanel,0.002585194
Charlotte,0.002585194
Chelsea,0.007050529
Chloe,0.015981199
Christina,0.002350176
Dakota,0.003055229
Danielle,0.002820212
Destiny,0.006580494
Egypt,0.002585194
Eliana,0.005405405
Elizabeth,0.005875441
Ella,0.002585194
Emily,0.008695652
Emma,0.005405405
Eva,0.003760282
Faith,0.009400705
Fanta,0.002820212
Fatima,0.007520564
Fatou,0.002350176
Fatoumata,0.011045828
Gabriella,0.006580494
Gabrielle,0.008695652
Genesis,0.004700353
Gianna,0.003290247
Grace,0.004700353
Hailey,0.00493537
Hannah,0.0039953
Harmony,0.0039953
Hawa,0.003290247
Heaven,0.005875441
Hope,0.002585194
Imani,0.005640423
Isabella,0.011045828
Isabelle,0.004700353
Jada,0.004230317
Jade,0.005170388
Janelle,0.002820212
Jasmine,0.005875441
Jayda,0.003055229
Jayla,0.005875441
Jordan,0.003055229
Jordyn,0.00493537
Journee,0.002585194
Journey,0.003055229
Joy,0.002585194
Kadiatou,0.002350176
Kaitlyn,0.005640423
Kali,0.002820212
Kayla,0.008460635
Kaylee,0.005640423
Kelsey,0.003290247
Kennedy,0.005875441
Khadijah,0.003055229
Khloe,0.009165687
Kiara,0.003525264
Kimora,0.003055229
Kristen,0.002350176
Kyla,0.002585194
Kylee,0.002350176
Kylie,0.007050529
Laila,0.006345476
Lailah,0.002350176
Lauren,0.008695652
Lauryn,0.002350176
Layla,0.006110458
Leah,0.008460635
Leilani,0.003055229
Lillian,0.002585194
Logan,0.003290247
London,0.014336075
Londyn,0.006110458
Lyric,0.003525264
Mackenzie,0.003525264
Madison,0.030552291
Madisyn,0.003290247
Makayla,0.009400705
Malaysia,0.003290247
Malia,0.004230317
Maliyah,0.004700353
Mariah,0.005170388
Mariam,0.011045828
Mariama,0.003760282
Maryam,0.002350176
Maya,0.008460635
Mckenzie,0.007050529
Melanie,0.002585194
Mia,0.014336075
Michelle,0.005170388
Mikayla,0.0039953
Mila,0.002585194
Milan,0.006110458
Miracle,0.003055229
Morgan,0.008460635
Mya,0.006110458
Nahla,0.003055229
Naomi,0.007520564
Nevaeh,0.007285546
Nia,0.007285546
Nova,0.002585194
Nyla,0.008460635
Nylah,0.007990599
Olivia,0.012220917
Oumou,0.003055229
Paige,0.006580494
Paris,0.006815511
Penelope,0.002350176
Peyton,0.007990599
Phoenix,0.002350176
Riley,0.004700353
Samantha,0.003290247
Sanaa,0.003290247
Sanai,0.003525264
Saniyah,0.002350176
Sarah,0.005170388
Sarai,0.003525264
Sariah,0.002820212
Savannah,0.012455934
Serenity,0.010810811
Shiloh,0.002350176
Skye,0.0039953
Skyla,0.006580494
Skylah,0.005640423
Skylar,0.01480611
Skyler,0.002350176
Sofia,0.002820212
Sophia,0.008460635
Summer,0.002350176
Sydney,0.00493537
Taylor,0.010575793
Tiana,0.003055229
Tianna,0.003055229
Tori,0.004230317
Trinity,0.004465335
Victoria,0.007050529
Violet,0.003290247
Winter,0.003760282
Wynter,0.002820212
Zaniyah,0.002350176
Zara,0.003290247
Zariah,0.002350176
Zendaya,0.003055229
Zoe,0.005405405
Zoey,0.007520564
Zuri,0.00493537
