Name,Frequency
Jayden,0.03317956
Ethan,0.031760114
Ryan,0.029098652
Lucas,0.024662881
Aiden,0.023953158
Muhammad,0.022888573
Daniel,0.01543648
William,0.015081618
Eric,0.014904187
Jason,0.013839603
Evan,0.013484741
Matthew,0.012597587
Mason,0.011355571
Aaron,0.011178141
Andrew,0.011178141
Austin,0.011178141
Mohammad,0.011178141
Kevin,0.01100071
Liam,0.010823279
Justin,0.009936125
Ayaan,0.009758694
Oliver,0.009758694
Kyle,0.009403833
James,0.009226402
Alexander,0.009048971
Dylan,0.00887154
Nathan,0.008694109
Benjamin,0.008516678
Jacob,0.008516678
Leo,0.008516678
Owen,0.008516678
Vincent,0.008161817
Alex,0.007984386
Brandon,0.007984386
Michael,0.007806955
Ian,0.007629524
Ivan,0.007629524
Jonathan,0.007629524
Andy,0.007452094
Noah,0.007452094
Tenzin,0.007452094
Carson,0.00674237
Eason,0.00674237
Raymond,0.00656494
Joshua,0.006387509
Adam,0.006210078
Mohammed,0.006210078
Brian,0.006032647
Felix,0.005855216
Isaac,0.005855216
Tyler,0.005855216
Alvin,0.005677786
Derek,0.005677786
Anthony,0.005500355
Abdullah,0.005322924
David,0.005322924
Henry,0.005322924
Jaden,0.005322924
Nicholas,0.005322924
Aidan,0.005145493
Jeremy,0.005145493
Alan,0.004968062
Marcus,0.004968062
Oscar,0.004790632
Adrian,0.004613201
Allen,0.004613201
John,0.004613201
Lawrence,0.004613201
Luke,0.004613201
Zachary,0.00443577
Ibrahim,0.004258339
Kimi,0.004258339
Logan,0.004258339
Rayyan,0.004258339
Anson,0.004080908
Benson,0.004080908
Caleb,0.004080908
Nathaniel,0.004080908
Roy,0.004080908
Devin,0.003903478
Max,0.003903478
Samuel,0.003903478
Theodore,0.003903478
Ali,0.003726047
Charles,0.003726047
Connor,0.003726047
Jack,0.003726047
Kai,0.003726047
Kingsley,0.003726047
Rohan,0.003726047
Albert,0.003548616
Arjun,0.003548616
Gavin,0.003548616
Maxwell,0.003548616
Miles,0.003548616
Rayan,0.003548616
Syed,0.003548616
Jimmy,0.003371185
Timothy,0.003371185
Tristan,0.003371185
Alfred,0.003193754
Aryan,0.003193754
Christopher,0.003193754
Hunter,0.003193754
Jasper,0.003193754
Joseph,0.003193754
Louis,0.003193754
Richard,0.003193754
Steven,0.003193754
Wesley,0.003193754
Zayan,0.003193754
Adyan,0.003016324
Damon,0.003016324
Eden,0.003016324
Gabriel,0.003016324
Hudson,0.003016324
Jeffrey,0.003016324
Jordan,0.003016324
Julian,0.003016324
Sebastian,0.003016324
Thomas,0.003016324
Ayan,0.002838893
Harrison,0.002838893
Hayden,0.002838893
Kayden,0.002838893
Asher,0.002661462
Ayden,0.002661462
Bryan,0.002661462
Christian,0.002661462
Colin,0.002661462
Darren,0.002661462
George,0.002661462
Jerry,0.002661462
Leon,0.002661462
Ryder,0.002661462
Aahil,0.002484031
Chris,0.002484031
Edison,0.002484031
Jake,0.002484031
Luca,0.002484031
Stanley,0.002484031
Alston,0.0023066
Armaan,0.0023066
Edward,0.0023066
Elijah,0.0023066
Elvis,0.0023066
Leonardo,0.0023066
Neil,0.0023066
Rehan,0.0023066
Ahmed,0.00212917
Anderson,0.00212917
Arham,0.00212917
Carter,0.00212917
Grayson,0.00212917
Isaiah,0.00212917
Kaden,0.00212917
Sean,0.00212917
Victor,0.00212917
Zain,0.00212917
Ahnaf,0.001951739
Arvin,0.001951739
Cameron,0.001951739
Chase,0.001951739
Edwin,0.001951739
Musa,0.001951739
Shawn,0.001951739
Tony,0.001951739
Wilson,0.001951739
Aayan,0.001774308
Azaan,0.001774308
Brayden,0.001774308
Calvin,0.001774308
Eli,0.001774308
Emmanuel,0.001774308
Frank,0.001774308
Gary,0.001774308
Gordon,0.001774308
Hassan,0.001774308
Kabir,0.001774308
Mark,0.001774308
Omar,0.001774308
Ricky,0.001774308
Riley,0.001774308
Roman,0.001774308
Shayan,0.001774308
Simon,0.001774308
Travis,0.001774308
Winston,0.001774308
Xavier,0.001774308
