Name,Frequency
Joseph,0.020227901
David,0.018339964
Michael,0.018070258
Moshe,0.018002832
Jacob,0.017261142
Benjamin,0.015710336
Alexander,0.015170926
Daniel,0.015036073
Samuel,0.013889825
Jack,0.013417841
James,0.013148136
Adam,0.01287843
William,0.01233902
Henry,0.011867035
Abraham,0.01159733
Nicholas,0.011192772
John,0.010653361
Ethan,0.010046524
Liam,0.009372261
Ryan,0.009304834
Noah,0.009237408
Charles,0.00883285
Matthew,0.00883285
Chaim,0.008765424
Theodore,0.008495718
Isaac,0.008428292
Lucas,0.008158587
Menachem,0.007956308
Thomas,0.007956308
Yosef,0.007821455
Anthony,0.007416897
Oliver,0.007349471
Leo,0.007282044
Max,0.007282044
Gabriel,0.007079765
Eli,0.006944913
Sebastian,0.006742634
Shimon,0.006742634
Luke,0.006675207
Dylan,0.006338076
Luca,0.006338076
Mason,0.006338076
Mordechai,0.006203223
Andrew,0.006135797
Aaron,0.00606837
Zachary,0.00606837
Julian,0.005866091
Owen,0.005866091
Yehuda,0.005798665
Jackson,0.005731239
Yisroel,0.005596386
Nathan,0.00552896
Aiden,0.005259254
Christopher,0.005124402
Jonathan,0.005056975
Asher,0.004854696
Joshua,0.004584991
Logan,0.004584991
Robert,0.004517565
Meir,0.004450138
Yitzchok,0.004450138
George,0.004382712
Christian,0.004315286
Aron,0.004180433
Mark,0.004113007
Evan,0.003910728
Hudson,0.003910728
Levi,0.003910728
Shmuel,0.003843301
Miles,0.003775875
Avraham,0.003708449
Shlomo,0.003708449
Ali,0.003641022
Peter,0.003641022
Sean,0.003573596
Eliezer,0.00350617
Solomon,0.003438743
Gavin,0.003371317
Jason,0.00330389
Mohamed,0.00330389
Omar,0.00330389
Patrick,0.00330389
Simon,0.00330389
Tzvi,0.00330389
Zev,0.00330389
Nathaniel,0.003169038
Jake,0.003101611
Yaakov,0.003101611
Ezra,0.003034185
Jonah,0.003034185
Maxwell,0.003034185
Shulem,0.003034185
Yakov,0.003034185
Harrison,0.002966759
Hunter,0.002966759
Chase,0.002899332
Connor,0.002899332
Declan,0.002899332
Vincent,0.002899332
Adrian,0.002831906
Ari,0.002831906
Austin,0.002697053
Cooper,0.002697053
Edward,0.002697053
Lipa,0.002629627
Yechiel,0.002629627
Dov,0.002562201
Mendel,0.002562201
Oscar,0.002562201
Shia,0.002494774
Colin,0.002427348
Leonardo,0.002427348
Israel,0.002359922
Jayden,0.002359922
Roman,0.002359922
Victor,0.002359922
Jordan,0.002292495
Tyler,0.002292495
Brandon,0.002225069
Elliot,0.002225069
Wyatt,0.002225069
Ahmed,0.002157643
