LocalCourseCode,LocalCourseTitle,InstructionalTimePlanned,SchoolReference.id,SchoolReference.ref,SchoolReference.SchoolIdentity.SchoolId,SessionReference.id,SessionReference.ref,SessionReference.SessionIdentity.SchoolYear,SessionReference.SessionIdentity.SessionName,SessionReference.SessionIdentity.SchoolReference.id,SessionReference.SessionIdentity.SchoolReference.ref,SessionReference.SessionIdentity.SchoolReference.SchoolIdentity.SchoolId,SessionReference.SessionLookup.SchoolYear,SessionReference.SessionLookup.SessionName,SessionReference.SessionLookup.Term,SessionReference.SessionLookup.SchoolReference.id,SessionReference.SessionLookup.SchoolReference.ref,SessionReference.SessionLookup.SchoolReference.SchoolIdentity.SchoolId,CourseReference.id,CourseReference.ref,CourseReference.CourseIdentity.CourseCode,CourseReference.CourseIdentity.EducationOrganizationReference.id,CourseReference.CourseIdentity.EducationOrganizationReference.ref,CourseReference.CourseIdentity.EducationOrganizationReference.EducationOrganizationIdentity.EducationOrganizationId,CourseReference.CourseLookup.CourseCode,CourseReference.CourseLookup.CourseTitle,CourseReference.CourseLookup.CourseIdentificationCode.AssigningOrganizationIdentificationCode,CourseReference.CourseLookup.CourseIdentificationCode.IdentificationCode,CourseReference.CourseLookup.CourseIdentificationCode.CourseIdentificationSystem
ALG-1,,,,,255901001,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,ALG-1,,,255901001,ALG-1,,,ALG-1,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
ALG-2,,,,,255901001,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,ALG-2,,,255901001,ALG-2,,,ALG-2,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
ART-1,,,,,255901001,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,ART-1,,,255901001,ART-1,,,ART-1,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
ART-2,,,,,255901001,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,ART-2,,,255901001,ART-2,,,ART-2,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
ART3-EM,,,,,255901001,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,ART3-EM,,,255901001,ART3-EM,,,ART3-EM,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
ART4-EM,,,,,255901001,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,ART4-EM,,,255901001,ART4-EM,,,ART4-EM,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
BIO,,,,,255901001,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,BIO,,,255901001,BIO,,,BIO,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
CHEM,,,,,255901001,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,CHEM,,,255901001,CHEM,,,CHEM,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
CL-09,,,,,255901001,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,CL-09,,,255901001,CL-09,,,CL-09,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
CL-10,,,,,255901001,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,CL-10,,,255901001,CL-10,,,CL-10,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
