Name,Frequency
Second,0.034269711
Third,0.031951633
First,0.031216786
Fourth,0.028983862
Park,0.028151246
Fifth,0.025817399
Main,0.02417109
Sixth,0.022969474
Oak,0.021906627
Seventh,0.020112088
Pine,0.019459241
Maple,0.019247933
Cedar,0.017800317
Eighth,0.017421856
Elm,0.016504086
View,0.016406317
Washington,0.015687239
Ninth,0.015479085
Lake,0.015457008
Hill,0.015381316
Walnut,0.015135316
Tenth,0.013785469
Spring,0.013135776
North,0.012848776
Ridge,0.012766776
Lincoln,0.012754161
Church,0.012713161
Willow,0.012669007
Mill,0.012536545
Sunset,0.012391468
Railroad,0.012151776
Eleventh,0.011915237
Jackson,0.011748083
Cherry,0.011571468
West,0.011530468
South,0.011259237
Twelfth,0.01086816
Center,0.01072939
Highland,0.010555929
Johnson,0.010486544
Forest,0.010436083
Jefferson,0.010426621
Hickory,0.010398236
Wilson,0.010306775
River,0.01015539
Meadow,0.010070236
Valley,0.009720159
Smith,0.009701236
East,0.009638159
Chestnut,0.00944262
Thirteenth,0.009389005
Franklin,0.00908939
Adams,0.009007389
Fourteenth,0.00899162
Spruce,0.008897005
Laurel,0.008767697
Davis,0.008733005
Birch,0.008685697
Williams,0.00845862
Lee,0.00841762
Dogwood,0.008367158
Green,0.008364005
Poplar,0.008341928
Locust,0.008256774
Woodland,0.008247312
Taylor,0.008241004
Ash,0.008165312
Madison,0.00813062
Fifteenth,0.008064389
Hillcrest,0.00803285
Sycamore,0.007988697
Broadway,0.007919312
Miller,0.007846773
Lakeview,0.00784362
College,0.007783696
Central,0.007726927
