Name,Frequency
Smith,0.017813235
Johnson,0.014904628
Begay,0.013466199
Yazzie,0.011793177
Locklear,0.011411301
Jones,0.011297532
Williams,0.010553182
Brown,0.010102516
Davis,0.007470835
Wilson,0.007112771
Thompson,0.006535106
Thomas,0.006330498
Miller,0.006266117
Jackson,0.006110016
White,0.00569639
Martin,0.005576448
Lee,0.005503247
Hunt,0.005267772
James,0.005162822
Lewis,0.005126663
Taylor,0.004765071
Anderson,0.004706864
Clark,0.004546353
Garcia,0.004390251
Martinez,0.004374376
Benally,0.004268544
Scott,0.004260607
Tsosie,0.004115088
Moore,0.004004847
Nelson,0.003962514
King,0.003755261
Jacobs,0.003729685
Oxendine,0.003691762
Walker,0.003669713
Nez,0.003638846
Harris,0.003402488
Allen,0.003391905
Hill,0.003304594
Mitchell,0.003175832
Phillips,0.003071764
John,0.003062063
Baker,0.003025904
Young,0.002999446
Adams,0.00287774
Chavis,0.002831879
Morgan,0.002803658
Roberts,0.00274545
Hall,0.002630799
Lopez,0.002576119
Wright,0.00256289
Joe,0.002559363
Morris,0.002556717
Henry,0.002434129
Parker,0.002430601
Long,0.00238474
Reed,0.002358283
George,0.002345054
Richardson,0.002310658
Carter,0.002270089
Robinson,0.002262152
Cook,0.002235694
Green,0.002224229
Campbell,0.002132508
Chee,0.002121925
Collins,0.002102523
Bell,0.002101641
Edwards,0.002097231
Harrison,0.002090176
Evans,0.002052253
Stewart,0.002041669
Jim,0.002025795
Rogers,0.001999337
Stevens,0.001967587
Charley,0.00190938
Sanchez,0.001906734
Russell,0.001899679
Chavez,0.001884686
Bennett,0.001876748
Ward,0.001859992
Sandoval,0.001851172
Howard,0.001842353
Cooper,0.001810604
Wood,0.001788555
Black,0.001788555
Gray,0.001753278
Ross,0.00172682
Murphy,0.001722411
Watson,0.001710064
Rodriguez,0.001702126
Peterson,0.001697717
Sam,0.001686251
Hernandez,0.001681842
Foster,0.00167655
Curley,0.001659793
Turner,0.00165803
Sanders,0.001656266
Lowery,0.001613051
Brooks,0.001592767
Peters,0.001586593
Spencer,0.001576892
Harvey,0.001542497
Perry,0.001538087
Henderson,0.001519567
Butler,0.001506338
Tso,0.001455186
Cummings,0.001454304
Bryant,0.001441957
Cox,0.001432255
Bailey,0.001430492
Tom,0.001385513
Gibson,0.001382867
Marshall,0.00137493
Harjo,0.00137493
Freeman,0.001363465
West,0.001346708
Fox,0.001338771
Hamilton,0.001337007
Barnes,0.001336125
Hunter,0.001321132
Graham,0.001317604
Fisher,0.001316722
Francis,0.001315841
Weaver,0.001309667
Gonzales,0.001299966
Price,0.001291146
Romero,0.001288501
Willis,0.001284973
Boyd,0.001278799
Hicks,0.001273508
Grant,0.001264689
Kelly,0.001262925
Strickland,0.001254105
Sampson,0.00125146
Woods,0.001250578
Paul,0.001236467
Wallace,0.001228529
Stone,0.001228529
Frank,0.001220592
Bullard,0.001218828
Pierce,0.001216182
Hayes,0.001207363
Wells,0.001203835
Billy,0.001202071
Alexander,0.001194134
Dixon,0.001193252
Flores,0.001185315
Jordan,0.001182669
Mcdonald,0.001180023
Antone,0.001167676
Robertson,0.001153565
Billiot,0.001134163
Fields,0.001128871
Cole,0.001126225
Perez,0.001120052
Bahe,0.001105941
Owens,0.001104177
Begaye,0.001101531
Palmer,0.001100649
Brewer,0.001098886
Castillo,0.001094476
Simpson,0.001088302
Little,0.00108742
Simmons,0.001084775
Duncan,0.001081247
Powell,0.001069782
Patterson,0.001068018
Tucker,0.001063608
Ellis,0.001059199
Toledo,0.001055671
Hughes,0.001052143
Reynolds,0.001052143
Daniels,0.001052143
Myers,0.001051261
Andrews,0.001049497
Warren,0.001043324
Richards,0.00104156
Hudson,0.001038032
Jenkins,0.00103715
Porter,0.00103715
Mills,0.001030095
Burns,0.001015102
Frazier,0.001004519
Mason,0.001000991
Shaw,0.000999227
Lawrence,0.000997464
Lynch,0.000989526
Sullivan,0.000988644
Armstrong,0.000985998
Trujillo,0.000978061
Wheeler,0.000976297
Welch,0.000970124
Francisco,0.00096836
Morrison,0.000967478
Holmes,0.000966596
Lane,0.000964832
Crawford,0.000962186
Ford,0.000959541
Bradley,0.000949839
Gonzalez,0.000948957
Murray,0.000943666
Gordon,0.000942784
Kennedy,0.000938374
Curtis,0.000933965
Wolfe,0.000931319
Charles,0.000931319
Moses,0.000928673
Lambert,0.000926909
Ramirez,0.000926027
Willie,0.000923381
Olson,0.000922499
Lucero,0.000921618
Coleman,0.000919854
Washington,0.000919854
Dial,0.000915444
Mann,0.000914562
Riley,0.00091368
Ortiz,0.000908389
Ray,0.000908389
Webb,0.000894278
Franklin,0.000881049
Hammonds,0.000872229
Hale,0.000870466
Day,0.000869584
Fowler,0.000868702
Stanley,0.000868702
Chapman,0.00086782
Cloud,0.000864292
Nichols,0.00086341
Knight,0.000860764
Hart,0.000852827
Byrd,0.000845771
Herrera,0.000844008
Johnston,0.000841362
Griffin,0.00084048
Barton,0.00084048
Rice,0.000839598
Jefferson,0.000837834
Montoya,0.000835188
Kee,0.000834306
Largo,0.000833424
Webster,0.000829015
Johns,0.000825487
Gardner,0.000819314
Tiger,0.00081314
Austin,0.00080873
Steele,0.000803439
Valenzuela,0.000795501
Perkins,0.00079462
Walters,0.000791092
Antonio,0.000791092
Gomez,0.00079021
Rose,0.00079021
Manuel,0.000788446
Bird,0.000787564
Stephens,0.000783154
Jensen,0.000782272
Billie,0.000777863
Berry,0.000776099
Azure,0.000776099
Cruz,0.000774335
Pete,0.000773453
Shorty,0.000771689
Ashley,0.000770807
Cleveland,0.000770807
Woody,0.000769925
Joseph,0.000769044
Hawkins,0.000768162
Shirley,0.00076287
Mccoy,0.000760224
Greene,0.000759342
Etsitty,0.000759342
Bowman,0.000757578
Tyler,0.000755815
Ferguson,0.000753169
Kelley,0.000752287
Lowry,0.000752287
Torres,0.000745231
Hardy,0.000743468
Starr,0.000741704
Dick,0.000740822
Lowe,0.000739058
Aguilar,0.00073553
Carroll,0.000727593
Elliott,0.000724065
Padilla,0.000721419
Snyder,0.00071701
Chase,0.000716128
Becenti,0.000715246
Roy,0.000710836
Oliver,0.000709072
Williamson,0.000702899
Barnett,0.000700253
Bear,0.000700253
Alvarez,0.000699371
Pablo,0.000699371
Norris,0.000698489
Platero,0.000691434
Proctor,0.000687906
