Name,Frequency
Williams,0.029936585
Johnson,0.026219741
Smith,0.022054164
Jones,0.021476654
Brown,0.019911749
Jackson,0.014752217
Davis,0.013782239
Thomas,0.01133102
Harris,0.010320984
Robinson,0.009266004
Taylor,0.008325808
Wilson,0.008281657
Moore,0.007856148
White,0.007313851
Lewis,0.007205667
Walker,0.007155042
Green,0.006257242
Washington,0.006120112
Thompson,0.006063973
Anderson,0.005751201
Scott,0.005660686
Carter,0.00529875
Wright,0.005032593
Miller,0.004903942
Hill,0.004888111
Allen,0.004865806
Mitchell,0.00483757
Young,0.004630141
Lee,0.004405879
Martin,0.004299157
Clark,0.004244355
Turner,0.004109439
Hall,0.00410451
King,0.004037678
Edwards,0.004001004
Coleman,0.003819431
James,0.00371062
Evans,0.003580925
Bell,0.003514428
Richardson,0.0034156
Adams,0.003312888
Brooks,0.00328532
Parker,0.003262681
Jenkins,0.003211304
Stewart,0.003114524
Howard,0.003053206
Campbell,0.00297213
Simmons,0.002969917
Sanders,0.002943434
Henderson,0.002913486
Collins,0.002880989
Cooper,0.002849828
Watson,0.002718922
Butler,0.002717376
Alexander,0.002684211
Bryant,0.002661906
Nelson,0.002570806
Morris,0.002511911
Barnes,0.002481252
Jordan,0.002476197
Reed,0.002454268
Woods,0.002443993
Dixon,0.002426199
Roberts,0.002426074
Gray,0.002408572
Phillips,0.002404353
Griffin,0.00237052
Baker,0.002353311
Powell,0.002349092
Bailey,0.002348089
Ford,0.002339819
Holmes,0.002290698
Banks,0.002249596
Daniels,0.002192873
Ross,0.002174745
Rogers,0.002171696
Perry,0.002164553
Foster,0.002141078
Patterson,0.002128171
Hunter,0.002083227
Owens,0.002052025
Grant,0.002047973
Marshall,0.001950483
Henry,0.001938787
Morgan,0.001901487
Price,0.001890961
Wallace,0.001890794
Ward,0.001886199
Hayes,0.001883275
Boyd,0.001869324
Freeman,0.001866693
Graham,0.001841798
Hamilton,0.00183854
Franklin,0.001812559
Hawkins,0.001795893
Gordon,0.001761558
Sims,0.001753287
Harrison,0.001742511
Ellis,0.001717449
Kelly,0.001683657
Hicks,0.001677308
Bennett,0.001648571
Joseph,0.001632656
Gibson,0.001623049
Crawford,0.001616157
Jefferson,0.001614152
Watkins,0.001604963
Tucker,0.001604086
Porter,0.001601204
Willis,0.001594145
Mason,0.001589842
Matthews,0.001535667
Fields,0.001517956
Cook,0.001510856
Hughes,0.001480364
Simpson,0.001462737
Hudson,0.001432454
Cole,0.001427608
Warren,0.001426481
Russell,0.001420883
West,0.001401252
Reid,0.001390642
Murphy,0.00138446
Wells,0.001378445
Mack,0.001357059
Murray,0.001351086
Douglas,0.001348872
Bradley,0.001337511
Frazier,0.001333334
Shaw,0.001311196
Harper,0.001283753
Greene,0.00127494
Robertson,0.001270679
Payne,0.001270136
Perkins,0.001270011
Byrd,0.001268674
Spencer,0.001266335
Webb,0.001253721
Oliver,0.001250212
Cox,0.001224315
Austin,0.001205309
Berry,0.001203221
Lawrence,0.001200589
Mcdonald,0.001195995
Montgomery,0.001195869
Love,0.001186262
Mccoy,0.001173731
Burton,0.001165085
Black,0.001164333
Knight,0.001144534
Harvey,0.001129288
Andrews,0.001125696
Cunningham,0.0011239
Stephens,0.001113834
Armstrong,0.001102138
Peterson,0.001100593
Glover,0.001098045
Long,0.001096917
Haynes,0.001096875
Riley,0.00109675
Hampton,0.001095747
Wade,0.001090777
Miles,0.001088312
Palmer,0.001087477
Neal,0.00108259
Gardner,0.001081337
Ferguson,0.001072523
Garrett,0.001061078
Tate,0.001053852
Singleton,0.001041112
Hunt,0.001036685
Reynolds,0.001021272
Curry,0.001020645
Charles,0.001017429
Chambers,0.00101605
Hardy,0.00101534
Hines,0.001013878
Little,0.001003561
Walton,0.000994623
Rice,0.000994581
Mills,0.00099408
Fisher,0.000990738
Mosley,0.000986352
Caldwell,0.00097591
Booker,0.000961374
Alston,0.00095515
Carr,0.000954774
Lawson,0.0009483
Roberson,0.000935727
Kennedy,0.000930548
Terry,0.000928083
Houston,0.000923405
Burns,0.000923154
Mcgee,0.000922027
Ray,0.000918309
Myers,0.000915594
Fuller,0.000908577
Stevenson,0.000903982
Thornton,0.000899722
Watts,0.000899011
Duncan,0.000897758
Ingram,0.00089496
Pearson,0.000890323
Gaines,0.000889655
Dorsey,0.00088953
Flowers,0.000889154
Parks,0.000874618
Lane,0.000872153
George,0.000869021
Stevens,0.000863883
Stokes,0.000860166
Ware,0.000855028
Dawson,0.000844753
Reese,0.000831094
Dennis,0.00082746
Francis,0.000825956
Horton,0.000819858
Mckinney,0.000818605
Holloway,0.000817143
Jennings,0.000812924
Graves,0.000808705
Tyler,0.000802941
Hopkins,0.000801354
Fleming,0.000790201
Battle,0.000788697
Williamson,0.000784646
Vaughn,0.00078214
Wiggins,0.000781847
Dunn,0.000771154
Clay,0.000769692
Lucas,0.000768815
Jacobs,0.000765432
Sutton,0.000762007
Floyd,0.000758205
Pierre,0.000757245
Daniel,0.00075478
Rivers,0.000754613
Malone,0.000752441
Moss,0.000742709
Dean,0.000740495
Clarke,0.000736193
Chapman,0.000734438
Bush,0.000731807
Logan,0.000730972
Shelton,0.000729008
Bates,0.000726753
Gibbs,0.000724623
Pierce,0.000720195
Arnold,0.000719151
Holland,0.000718858
Saunders,0.000718399
Hart,0.00071489
Mccray,0.000710671
Rhodes,0.000707163
Wilkins,0.000703529
Gilbert,0.00070332
Townsend,0.000698934
Richards,0.000697013
Rodgers,0.000690538
Lowe,0.000690246
Mathis,0.000682352
Morrison,0.000679845
Nichols,0.000673496
Fletcher,0.000673413
Cannon,0.000673246
Elliott,0.000672786
Rose,0.000666479
Howell,0.000666312
Anthony,0.000662803
Glenn,0.000661884
Garner,0.000661801
Boone,0.000660757
Pittman,0.000660255
Dickerson,0.000658668
Norman,0.000657833
Simon,0.000654909
Wheeler,0.000652611
Cobb,0.000645343
Monroe,0.000644842
Barnett,0.000641041
Branch,0.000640206
Curtis,0.000637365
Lyons,0.000637365
Mcdaniel,0.000632019
Hubbard,0.000630766
Woodard,0.000628803
Lindsey,0.0006278
Page,0.000627382
Mays,0.000624667
Bolden,0.000619906
Randolph,0.000619028
Bradford,0.000615102
Copeland,0.000613598
Pitts,0.000612554
Blake,0.000610883
Sullivan,0.000610675
Chandler,0.000607542
Mcclain,0.000603824
Carroll,0.000601986
Collier,0.000601861
Mckenzie,0.000601443
Benjamin,0.000597266
Pope,0.000596347
Cummings,0.000588912
Moody,0.000586949
Kelley,0.000586615
Small,0.000584694
Weaver,0.000580976
Wood,0.000579472
Whitfield,0.000578637
Tillman,0.00057634
Manning,0.000576173
Bullock,0.000575045
Hodges,0.000572163
Mcneil,0.000566482
Waters,0.000564143
Wiley,0.000563892
Clayton,0.000562932
Harrell,0.000562848
Wilkerson,0.00056005
Bridges,0.000557502
Cotton,0.000556081
Barber,0.00055604
Hinton,0.000555413
Stanley,0.000554494
Cross,0.000553283
Bowman,0.000552614
Calhoun,0.000551654
Benson,0.00055061
Oneal,0.000549899
Burnett,0.000548605
Patton,0.000545973
Baldwin,0.000545848
Blackwell,0.000544553
Terrell,0.000542673
Knox,0.000542506
Gregory,0.000542339
Webster,0.000542172
Craig,0.000541504
Lloyd,0.000540251
Maxwell,0.000540167
Bass,0.000538413
Winston,0.00053741
Lynch,0.000536867
Newton,0.000535948
Gilmore,0.000532398
Solomon,0.00053056
Atkins,0.000530142
Peters,0.00052985
Fowler,0.000528096
Bonner,0.000527218
Whitaker,0.000526634
Steele,0.000526383
Reeves,0.000522081
Burgess,0.000521329
Beasley,0.000520995
Moses,0.000519742
Ruffin,0.000516734
Hairston,0.000516484
Ramsey,0.000516275
Hodge,0.000512724
Holt,0.000510928
Cherry,0.000505749
Polk,0.000504913
Brewer,0.00050483
Rucker,0.000504454
Muhammad,0.000502407
Nash,0.000501446
Christian,0.000501279
Poole,0.000498606
Heard,0.000498188
Barrett,0.000497102
Stone,0.000494304
Goodwin,0.000494137
Dillard,0.000493134
Carson,0.000492925
Davenport,0.000491798
Norris,0.000491547
Leonard,0.000489584
Starks,0.000488957
Paul,0.000487662
Gamble,0.000485908
Joyner,0.00048382
Mcbride,0.000483611
Epps,0.000482734
Harmon,0.000482441
Farmer,0.000481648
Richard,0.000481063
Ellison,0.000478139
Morton,0.000477847
Mccall,0.000476886
Mcdowell,0.000473461
Chatman,0.000472166
Patrick,0.000472082
Greer,0.00047037
Tyson,0.000469367
Tolbert,0.000468615
Covington,0.000464856
Bishop,0.000462517
Prince,0.000461473
Ballard,0.000460011
Middleton,0.00045976
Mcknight,0.000458048
Strong,0.000456962
Wynn,0.00045646
Simms,0.000453954
Minor,0.000453161
Goodman,0.000451448
Burks,0.000451281
Nixon,0.000449318
Sampson,0.000448984
Walters,0.000448649
Clemons,0.000446728
Samuel,0.00044631
Newman,0.000443679
Strickland,0.000443679
Louis,0.0004423
Burrell,0.000441799
Massey,0.000441465
Sykes,0.000440504
Wesley,0.000440379
Givens,0.000438332
Nicholson,0.000438249
Pugh,0.000435367
Samuels,0.000435367
Dukes,0.000435241
Humphrey,0.000435033
Welch,0.000434448
Pollard,0.0004319
Carpenter,0.000431524
Briggs,0.000430563
Spears,0.000430396
Day,0.000429811
Hood,0.000428266
Mcghee,0.000428266
Giles,0.000425843
Smalls,0.0004253
Blair,0.000424298
Buchanan,0.000424172
Mclean,0.000423379
Hammond,0.000423253
William,0.000423045
Madison,0.000422376
Mcfadden,0.000421666
Whitehead,0.000421499
Blue,0.000419578
Burke,0.000418158
Wise,0.000417322
Mobley,0.000415651
Kemp,0.000413939
Randall,0.000413563
Peoples,0.000412644
Walls,0.00040901
Davidson,0.000408342
Colbert,0.000406337
Paige,0.000406086
Gill,0.000406044
Mcneal,0.000403538
Mcclendon,0.000403413
Jamison,0.00040312
May,0.000401533
Conner,0.000401241
English,0.000400071
Gary,0.000399862
Slaughter,0.000398192
Mcmillan,0.000397231
Blackmon,0.000397064
Gates,0.00039556
Lockett,0.000394558
Dudley,0.000391968
Mims,0.000391258
Hale,0.000387039
Gilliam,0.000385911
Cain,0.000385577
Diggs,0.000384825
Golden,0.000384073
Lowery,0.000383781
Preston,0.000382068
Wyatt,0.000381024
Grimes,0.000380732
Ball,0.000379061
Todd,0.000377599
Milton,0.000377181
Payton,0.000376889
Everett,0.000376805
Mccullough,0.000376722
Arrington,0.000375845
Savage,0.000375552
Mcintosh,0.000375469
Sheppard,0.000375135
Crosby,0.0003748
Rowe,0.000374174
Randle,0.000374132
Pryor,0.000373756
Cameron,0.000372795
Beard,0.000372628
Woodson,0.000372628
Alford,0.000371793
Myles,0.000371459
Benton,0.000371083
Pratt,0.000368953
Pruitt,0.000368911
Pickett,0.00036866
Blount,0.0003677
Durham,0.000367031
Calloway,0.00036536
Harden,0.00036394
Tatum,0.00036323
Bond,0.000363063
Norwood,0.000363021
Avery,0.00036064
Waller,0.000360223
Newsome,0.000358803
Ervin,0.000358636
Shields,0.000357257
Hogan,0.000356923
Shepherd,0.000356714
Bowen,0.000356088
Bernard,0.000356004
Wooten,0.000355545
Jean,0.000355002
Rollins,0.000353916
Holley,0.000353748
Lambert,0.00035354
Bland,0.000353498
Merritt,0.000353247
Haywood,0.000353038
Odom,0.000352913
Dawkins,0.000352579
Boykin,0.000352119
Hargrove,0.000351535
Shannon,0.000351284
Drake,0.000350532
Maddox,0.000350407
Braxton,0.000350282
Childs,0.000349864
Fox,0.000349613
Ricks,0.000349404
Valentine,0.000349154
Mayfield,0.000348068
Horne,0.000348026
Lyles,0.000347901
Bellamy,0.000347692
Bethea,0.00034339
Dotson,0.000343055
Steward,0.000341928
Conley,0.000341593
Gipson,0.000341343
Yates,0.000340842
Hutchinson,0.000339505
Best,0.000339338
Underwood,0.000338753
Livingston,0.000338461
Mcnair,0.000338419
Lockhart,0.000337375
Sharp,0.000337124
Felder,0.000336706
Hightower,0.000336665
Herring,0.000336539
Higgins,0.000335077
Summers,0.000335036
Mathews,0.000333365
Talley,0.000333072
Morrow,0.000332947
Lester,0.000332028
Galloway,0.000331652
Warner,0.000331193
Osborne,0.000329271
Mayes,0.000329188
Ali,0.000328979
Mann,0.000327601
Hollis,0.000327141
Edmonds,0.00032664
Harrington,0.000325637
Bruce,0.000325596
Noel,0.000325053
Richmond,0.000324175
Wilder,0.000322797
Kendrick,0.00032004
Magee,0.000318912
Person,0.000318662
Cleveland,0.000318244
Finley,0.000318035
Sherman,0.000317994
Keys,0.000317868
Griffith,0.000316949
Skinner,0.000316824
Key,0.000315613
Witherspoon,0.000314485
Donaldson,0.000313817
Mayo,0.000311477
Lofton,0.00031035
Kirkland,0.000310141
Womack,0.000309222
Proctor,0.000307676
Francois,0.000306841
Grier,0.000306716
Holman,0.000306173
Gross,0.00030563
Bynum,0.000305546
Hooks,0.00030492
Hatcher,0.000304544
Crockett,0.000303207
Ashley,0.000303082
Hobbs,0.000302956
Chaney,0.000302664
Rush,0.000302539
House,0.000301787
Brandon,0.000301662
Parham,0.000301494
Hester,0.000300951
Hickman,0.000300241
Darden,0.000300158
Crenshaw,0.000300116
Artis,0.000299824
Penn,0.000299615
Dunlap,0.000299406
Dozier,0.000299322
Gaston,0.000298988
Bright,0.000298863
Dunbar,0.000295981
Foreman,0.000295772
Huff,0.000295104
Brunson,0.000294811
Bowers,0.000294728
Mcrae,0.000294602
Lott,0.000294394
Sellers,0.000293558
Gay,0.000293391
Carey,0.000292514
Addison,0.000292389
Mackey,0.000291219
Petty,0.000290927
Crump,0.000290676
Hendricks,0.000289507
Vinson,0.000288838
Marsh,0.00028842
Rainey,0.000288253
Scales,0.000287543
Manuel,0.000287376
Hollins,0.000286248
Broussard,0.000285497
Dupree,0.000284118
Fulton,0.000283784
Brantley,0.000283617
Heath,0.000283241
Spence,0.000282907
Mcqueen,0.000282155
Grayson,0.000281111
Mcgill,0.00028061
Glass,0.000279983
Coles,0.000279983
Butts,0.000279941
Felton,0.000279691
Atkinson,0.000279607
Stafford,0.000278813
Travis,0.000278772
Brock,0.000278688
Goode,0.000278646
Mcleod,0.000278354
Guy,0.00027827
Shepard,0.000277101
Toney,0.000276307
Jeffries,0.000276182
Parrish,0.00027614
Melton,0.000275848
Keith,0.000275305
Mcpherson,0.000274135
Forbes,0.000272715
Bolton,0.000272506
Singletary,0.00027213
Lindsay,0.000271963
Isaac,0.000271921
Hardin,0.000271838
Marks,0.000271629
Bowens,0.000270459
Lacy,0.000269624
Sterling,0.00026812
Amos,0.000267828
Mcintyre,0.000267744
Gant,0.000267619
Sawyer,0.000266324
Major,0.000265948
Sneed,0.000265698
Bradshaw,0.000265489
Baxter,0.000264653
Winters,0.000264486
Askew,0.000264319
Echols,0.000263693
Allison,0.000262899
Crowder,0.000262523
Gooden,0.000262273
Stallworth,0.000261813
Sharpe,0.00026173
Dumas,0.000261312
Swain,0.000260309
Sparks,0.000259933
Jeter,0.000259683
Buckner,0.000259558
Guillory,0.000259516
Fitzgerald,0.000259182
Pace,0.000259015
Mcfarland,0.000258722
Mccloud,0.000258513
Ferrell,0.000258179
Britt,0.000258096
Sanford,0.000257887
Barker,0.00025772
Holder,0.000257511
Orr,0.000255172
Boston,0.000255172
Vincent,0.000254838
Mcmillian,0.000254712
Seals,0.000253543
Spann,0.000253376
Coley,0.000253334
Kidd,0.000251078
Johns,0.000250869
Eason,0.000249825
Stinson,0.000249115
Trotter,0.000248948
Bonds,0.000248572
Rouse,0.000248238
Fountain,0.000247737
Lang,0.000247444
Mcgowan,0.000247235
Quinn,0.000246233
Roach,0.000245648
Kimble,0.000245189
