Name,Frequency
Garcia,0.029739888
Rodriguez,0.028447058
Martinez,0.027125535
Hernandez,0.025284544
Lopez,0.021702381
Gonzalez,0.021436314
Perez,0.017083917
Sanchez,0.015452446
Ramirez,0.013902974
Torres,0.011310599
Flores,0.010835737
Rivera,0.010303335
Gomez,0.009168665
Diaz,0.008763325
Reyes,0.007709663
Morales,0.007630182
Cruz,0.007603511
Ortiz,0.007564972
Gutierrez,0.007505562
Chavez,0.006523253
Ramos,0.006293701
Gonzales,0.006248485
Ruiz,0.006138212
Alvarez,0.005839864
Mendoza,0.005696814
Vasquez,0.005644387
Castillo,0.005609931
Jimenez,0.005586922
Moreno,0.005070889
Romero,0.005053643
Herrera,0.004938447
Medina,0.004790857
Aguilar,0.0044463
Garza,0.004379755
Castro,0.004348314
Vargas,0.004340835
Fernandez,0.004289476
Guzman,0.004187177
Munoz,0.004161803
Mendez,0.003983344
Salazar,0.003935152
Soto,0.003754174
Delgado,0.00343606
Pena,0.00343545
Rios,0.003427551
Alvarado,0.003346239
Sandoval,0.003331396
Contreras,0.003314645
Valdez,0.003304343
Guerrero,0.003280724
Ortega,0.003263248
Estrada,0.003246383
Nunez,0.003139505
Maldonado,0.003121648
Vega,0.003064222
Vazquez,0.003062925
Santiago,0.003027401
Dominguez,0.002921096
Espinoza,0.002853863
Silva,0.002799337
Padilla,0.002777741
Marquez,0.002740728
Cortez,0.002617978
Rojas,0.002601647
Acosta,0.002567649
Figueroa,0.002542351
Luna,0.002514955
Juarez,0.002486032
Navarro,0.00244341
Campos,0.002390144
Molina,0.002387816
Avila,0.002383313
Ayala,0.002373278
Mejia,0.002367364
Carrillo,0.002356451
Duran,0.002211379
Santos,0.002202908
Salinas,0.002173527
Robles,0.002129685
Solis,0.002096374
Lara,0.002080844
Cervantes,0.002079814
Aguirre,0.002057492
Deleon,0.002050968
Ochoa,0.002033873
Miranda,0.002018458
Cardenas,0.00200827
Trujillo,0.002003157
Velasquez,0.001990527
Fuentes,0.001970991
Cabrera,0.001956987
Leon,0.001932681
Rivas,0.001925241
Montoya,0.001911657
Calderon,0.001901126
Colon,0.001885787
Serrano,0.00187579
Gallegos,0.001875408
Rosales,0.001806611
Castaneda,0.001805352
Villarreal,0.001777726
Guerra,0.001767348
Trevino,0.001758267
Pacheco,0.00173564
Ibarra,0.001693972
Valencia,0.001680159
Macias,0.001669972
Camacho,0.001653373
Salas,0.001651962
Orozco,0.00164288
Roman,0.001590834
Zamora,0.001582135
Suarez,0.001572557
Franco,0.001565155
Barrera,0.001535278
Mercado,0.001528944
Santana,0.001525624
Valenzuela,0.001489414
Escobar,0.001484301
Rangel,0.001482049
Melendez,0.001479912
Velez,0.001476211
Lozano,0.001474456
Velazquez,0.001449349
Smith,0.001414435
Arias,0.001410391
Mora,0.001406041
Delacruz,0.00140398
Galvan,0.001398753
Zuniga,0.001395204
Cantu,0.001374447
Villanueva,0.001373264
Meza,0.001361321
Acevedo,0.001351286
Cisneros,0.001329613
Arroyo,0.001329575
Pineda,0.001327819
Andrade,0.001325988
Tapia,0.00131828
Sosa,0.001298629
Villa,0.001296722
Rocha,0.001271996
Rubio,0.001260244
Zavala,0.001236243
Montes,0.001233229
Ponce,0.001224605
Bonilla,0.00121995
Arellano,0.001218347
Rosario,0.001210029
Davila,0.001207282
Villegas,0.001205794
Huerta,0.001203733
Mata,0.001198773
Beltran,0.001186258
Barajas,0.001177176
Benitez,0.001175345
Esparza,0.001171949
Cordova,0.001141843
Murillo,0.001135852
Salgado,0.001120857
Rosas,0.001113569
Cuevas,0.001075603
Palacios,0.001073123
Guevara,0.001064156
Quintero,0.001062973
Johnson,0.001062935
Lucero,0.001054769
Medrano,0.001036492
Bautista,0.001033401
Martin,0.001024167
Lugo,0.001010736
Dejesus,0.001004898
Espinosa,0.001002456
Marin,0.001001464
Cortes,0.000997572
Magana,0.000997114
Quintana,0.000990704
Corona,0.000990704
Trejo,0.000983721
Bernal,0.000978723
Nieves,0.00097773
Villalobos,0.000972579
Enriquez,0.00097216
Reyna,0.000959415
Jaramillo,0.000956477
Saenz,0.000943504
Quinones,0.000942588
Delarosa,0.000942206
Avalos,0.000941405
Esquivel,0.000938429
Williams,0.000936559
Nava,0.00093633
Cano,0.000934919
Bravo,0.000932782
Duarte,0.00093179
Galindo,0.000931523
Correa,0.000927173
Parra,0.000924464
Rodriquez,0.0009026
Saldana,0.00089493
Leal,0.000894816
Sierra,0.000889207
Blanco,0.000877264
Becerra,0.000876386
Brown,0.000863642
Carrasco,0.000853225
Portillo,0.000849028
Tovar,0.000846433
Alfaro,0.000844449
Vera,0.00084029
Zapata,0.000837733
Muniz,0.000828003
Cardona,0.000823424
Vigil,0.000820906
Saucedo,0.00081171
Baez,0.000802018
Hurtado,0.00079328
Amaya,0.000789694
Escobedo,0.00078687
Peralta,0.000785687
Arredondo,0.00078004
Aguilera,0.000773477
Zepeda,0.000763823
Rosado,0.000760389
Hinojosa,0.000759779
Renteria,0.000759168
Gallardo,0.00075913
Barrios,0.000755505
Felix,0.000752529
Castellanos,0.000752109
Baca,0.000751957
Segura,0.000751308
