Name,Frequency
Smith,0.018445373
Johnson,0.016096602
Williams,0.014684102
Brown,0.012225322
Jones,0.012006256
Davis,0.008834558
Miller,0.007035834
Jackson,0.006915824
Thomas,0.006769145
Lee,0.006636277
Wilson,0.006488645
Taylor,0.006106708
Anderson,0.00577287
Harris,0.005710008
Moore,0.005656194
Thompson,0.005462368
White,0.005359978
Singh,0.00529283
Martin,0.005093765
Lewis,0.004784215
Robinson,0.004767071
Walker,0.004297507
Young,0.004282744
Clark,0.004178449
Patel,0.004034628
Allen,0.003906045
Scott,0.003801275
Hall,0.003676026
Wright,0.003669835
King,0.003575065
Green,0.003505059
Hill,0.003490772
Khan,0.003476961
Mitchell,0.003376953
Carter,0.003245989
Adams,0.003206462
Baker,0.003031686
Ali,0.003005017
Nguyen,0.002968823
Campbell,0.002958346
Nelson,0.00292501
Roberts,0.002912628
Silva,0.002854051
Phillips,0.002815001
Edwards,0.002778331
Turner,0.002749281
Evans,0.002721659
Parker,0.00257879
Morris,0.002524023
Stewart,0.002518309
Collins,0.002497355
James,0.002332579
Bell,0.002269716
Rogers,0.002215426
Cooper,0.002173994
Richardson,0.00216304
Morgan,0.002158754
Reed,0.002126847
Howard,0.002111131
Brooks,0.002098273
Garcia,0.002084462
Cook,0.002077795
Wong,0.002077795
Santos,0.002064937
Bailey,0.002063984
Washington,0.002049698
Joseph,0.002023981
Ahmed,0.001992074
Watson,0.001985883
Ward,0.001900161
Alexander,0.001888732
Perry,0.001883493
Foster,0.001873968
Gray,0.001871111
Coleman,0.001857777
Murphy,0.001845871
Kim,0.001839204
Sanders,0.001820154
Henderson,0.001811106
Ross,0.00177015
Powell,0.001763483
Butler,0.001757292
Bennett,0.001753006
Russell,0.001743957
Peterson,0.001742052
Price,0.001721098
Jenkins,0.001720146
Cox,0.001716336
Barnes,0.001713479
Martinez,0.001697763
Kelly,0.001673951
Simmons,0.001671094
Persaud,0.00165776
Wood,0.001648711
Mohamed,0.001629186
Hamilton,0.001601088
Hughes,0.001594897
Patterson,0.001579181
Rodriguez,0.001570133
Jordan,0.001568228
Gomes,0.001567276
Bryant,0.001566323
Ford,0.001563466
Wallace,0.001562513
Woods,0.001543464
Lopez,0.001539178
Henry,0.001537273
Marshall,0.001535844
Long,0.001532511
Hayes,0.001526796
Graham,0.001488221
West,0.00147203
Gibson,0.00144917
Myers,0.001445361
Reynolds,0.001443932
Cole,0.001439646
Fisher,0.001422025
Ellis,0.001421073
Owens,0.001419168
Stevens,0.001416787
Griffin,0.001416311
Harrison,0.001412977
Gordon,0.001394404
