Name,Frequency
Nguyen,0.046863213
Lee,0.036103528
Kim,0.028894542
Patel,0.020879044
Tran,0.020496739
Chen,0.015869063
Wong,0.013855934
Le,0.011608885
Yang,0.010871683
Wang,0.01005509
Chang,0.009903554
Chan,0.009421537
Pham,0.009052306
Li,0.008778533
Park,0.008552332
Singh,0.008517992
Lin,0.007396594
Liu,0.0071674
Wu,0.006923871
Huang,0.00682038
Lam,0.006115627
Huynh,0.006061282
Ho,0.005925341
Choi,0.005529331
Yu,0.005499559
Shah,0.005232402
Chung,0.005222006
Khan,0.005187666
Zhang,0.005133794
Vang,0.004731483
Truong,0.004226153
Ng,0.004076507
Phan,0.004016964
Lim,0.003954428
Xiong,0.003928594
Vu,0.003915047
Cheng,0.003897562
Cho,0.003809508
Vo,0.003740828
Tang,0.003729329
Ngo,0.003620166
Chu,0.003585984
Lu,0.00346485
Kang,0.00343177
Ly,0.003422949
Hong,0.003331114
Dang,0.003254401
Hoang,0.003209349
Do,0.003172332
Chin,0.003152327
Tan,0.003101762
Lau,0.003090263
Bui,0.003080654
Kaur,0.003071045
Han,0.002899347
Ma,0.00281775
Duong,0.002782465
Leung,0.002711738
Yee,0.002654085
Song,0.002525547
Cheung,0.002427884
Ali,0.002381257
Shin,0.002367238
Ahmed,0.002359204
Yi,0.002283121
Thao,0.002281388
Lai,0.002249884
Hsu,0.002228934
Fong,0.002219482
Reyes,0.002204833
Sun,0.002202628
Chow,0.002193334
Young,0.002165137
Liang,0.002139304
Lo,0.002104649
Hwang,0.002071569
Santos,0.002059913
Cruz,0.002041955
Oh,0.002014547
Sharma,0.002006198
Chau,0.001962722
Garcia,0.001933423
Ha,0.001920033
Kumar,0.001917041
Xu,0.00189672
Desai,0.001886481
Thomas,0.001824733
Hu,0.001813864
Luu,0.001805042
Zhou,0.001787873
Dinh,0.001781257
Yoon,0.001739828
Trinh,0.00173337
Tam,0.001730377
Luong,0.001696667
Chong,0.001691784
Chiu,0.001657445
Zheng,0.001653191
Cao,0.001639802
Zhu,0.001620269
Woo,0.001617907
Zhao,0.001599949
Jung,0.001565924
Mai,0.001552378
Ko,0.001544659
Ramos,0.001533002
Chun,0.001516463
Her,0.001504333
Smith,0.001497245
