Name,Frequency
Smith,0.020260002
Johnson,0.013287176
Miller,0.011249328
Brown,0.00973958
Jones,0.009138469
Williams,0.008651935
Davis,0.008068469
Anderson,0.006876963
Wilson,0.006346037
Martin,0.006057832
Taylor,0.005677286
Moore,0.005591547
Thompson,0.005428846
White,0.005048242
Clark,0.004897967
Thomas,0.004587397
Hall,0.004134619
Baker,0.003943776
Nelson,0.003847355
Allen,0.003783261
Young,0.00373229
Harris,0.003717353
King,0.003714819
Adams,0.003657466
Lewis,0.003613946
Walker,0.003569158
Wright,0.00349616
Roberts,0.003386778
Campbell,0.003306235
Jackson,0.003246651
Phillips,0.003228959
Hill,0.00319876
Scott,0.003056843
Robinson,0.003001954
Murphy,0.002970813
Cook,0.002861978
Green,0.002851551
Lee,0.00282334
Evans,0.002810565
Peterson,0.002758757
Morris,0.002751213
Collins,0.002731092
Mitchell,0.002714249
Parker,0.002694476
Rogers,0.002662429
Stewart,0.002610737
Turner,0.002601298
Wood,0.002588861
Carter,0.002550048
Morgan,0.002521139
Cox,0.002492021
Kelly,0.002433181
Edwards,0.002401552
Bailey,0.00231114
Ward,0.002297842
Reed,0.002285242
Myers,0.002262901
Sullivan,0.002242152
Cooper,0.002209023
Bennett,0.002195226
Hughes,0.002149137
Long,0.002139361
Fisher,0.002067618
Price,0.002023807
Russell,0.001989574
Howard,0.001979206
Gray,0.001957178
Bell,0.001956353
Watson,0.001932605
Reynolds,0.001893479
Foster,0.001849947
Ross,0.001827106
Olson,0.001825095
Richardson,0.001805601
Snyder,0.001766661
Powell,0.001761035
Stevens,0.001758733
Brooks,0.001755211
Perry,0.001747795
West,0.001701962
Cole,0.00169372
Wagner,0.001687792
Meyer,0.001671321
Kennedy,0.001655326
Barnes,0.001649816
Hamilton,0.00164426
Graham,0.001643214
Schmidt,0.001632485
Sanders,0.001628986
Mcdonald,0.001620954
Patterson,0.001617699
Murray,0.001609121
Gibson,0.001598555
Wallace,0.001591197
Butler,0.001587186
Hayes,0.001561172
Burns,0.001548978
Ellis,0.001539993
Fox,0.001538505
Stone,0.001521894
Henderson,0.001518512
Wells,0.001513583
Ryan,0.001511596
Jenkins,0.001493671
Hansen,0.001483861
Webb,0.001477293
James,0.001476131
Jordan,0.001474004
Griffin,0.001472725
Hoffman,0.001471714
Harrison,0.001449047
Rose,0.001438516
Simmons,0.001419278
Marshall,0.00141908
Johnston,0.001395774
Owens,0.001395646
Nichols,0.001390671
Weaver,0.001382964
Kelley,0.00137205
Mills,0.001370271
Alexander,0.001369608
Tucker,0.001364773
Palmer,0.001361425
Rice,0.001355811
Larson,0.001352789
Simpson,0.001348092
Shaw,0.001346837
Carlson,0.001343536
Hunt,0.00134321
Black,0.001338131
Ford,0.00133297
Peters,0.00132875
Arnold,0.001320706
Robertson,0.001316417
Pierce,0.001312663
Dunn,0.001310977
Crawford,0.001310675
Bryant,0.00130234
Carpenter,0.001300876
Porter,0.001297935
Carroll,0.001295296
Elliott,0.001291333
Freeman,0.00128516
Mason,0.001283033
Ferguson,0.001282184
Obrien,0.001278325
Hart,0.001273559
Coleman,0.001261994
Warren,0.001246464
Jensen,0.001246208
Gardner,0.001244778
Hicks,0.001240315
Stephens,0.001234387
Henry,0.001220542
Gordon,0.001220147
Burke,0.001215451
Weber,0.00119841
Duncan,0.001195818
Richards,0.001193889
Woods,0.001190715
Hanson,0.001190204
Lane,0.001187484
Payne,0.001182311
Chapman,0.001181556
Schultz,0.001174198
Wheeler,0.001171024
Ray,0.001161597
Cunningham,0.001158459
Walsh,0.001150589
Knight,0.001146335
Bishop,0.001144998
Boyd,0.0011405
Armstrong,0.001132584
Schneider,0.00112991
Hunter,0.001129329
Spencer,0.001120657
Lynch,0.001120413
Morrison,0.001119774
Riley,0.00111674
Andrews,0.001115833
Berry,0.001102129
Bradley,0.001086739
Perkins,0.0010554
Hudson,0.001054354
Welch,0.001052762
Gilbert,0.001049333
Lawrence,0.001039464
Howell,0.001036198
Walters,0.001034094
Holmes,0.001033698
Williamson,0.00103335
Jacobs,0.001029432
Davidson,0.001023062
Lawson,0.001021598
Keller,0.001018645
May,0.001011473
Dixon,0.001008091
Day,0.001006731
Carr,0.001003371
Dean,0.000999756
George,0.000994653
Fowler,0.00099413
Beck,0.000993351
Newman,0.000992538
Hawkins,0.000991131
Becker,0.000987365
Bowman,0.000985203
Greene,0.000977915
Harper,0.000977008
Brewer,0.000973254
Matthews,0.000960793
Powers,0.000956352
Schwartz,0.000952737
Willis,0.000945391
Fuller,0.000936626
Barrett,0.000927653
Daniels,0.000922224
Harvey,0.00092155
Cohen,0.000918911
Curtis,0.000918853
Watkins,0.000918609
Holland,0.00091561
Montgomery,0.000915366
Austin,0.000915099
Grant,0.000907543
Garrett,0.000907404
Erickson,0.000906834
Lambert,0.000902824
Klein,0.000894117
Zimmerman,0.00089206
Wolfe,0.000891607
Mccarthy,0.000884493
Stanley,0.00088376
Barker,0.000877088
Burton,0.000868556
Oliver,0.000866092
Little,0.000863023
Lucas,0.000858746
Leonard,0.000856328
Pearson,0.000854852
Mccoy,0.000854038
Craig,0.000845308
Barnett,0.000844785
Bates,0.000840019
Gregory,0.000834847
Hopkins,0.000830906
Oconnor,0.000823339
Warner,0.000821003
Swanson,0.000818608
Norris,0.000812308
Hale,0.00080989
Robbins,0.000809216
Holt,0.000799452
Rhodes,0.000797499
Christensen,0.000792745
Steele,0.000788235
Mcdaniel,0.000787432
Benson,0.000783108
Mann,0.000782632
Shelton,0.000782144
Lowe,0.000780458
Higgins,0.000780086
Fischer,0.00077983
Doyle,0.000775437
Griffith,0.000772414
Reid,0.000764556
Franklin,0.000763952
Quinn,0.00076351
Fleming,0.000762546
Sutton,0.000762534
Ball,0.000762092
Mclaughlin,0.000762057
Wolf,0.000760581
Sharp,0.000760558
Gallagher,0.000760279
Bowen,0.000757257
Fitzgerald,0.000752316
Gross,0.000747864
Schroeder,0.000746807
Potter,0.000746574
Caldwell,0.000746063
Jennings,0.000742401
