CodeValue,ShortDescription,Description,Namespace,EducationOrganizationIdentificationSystemMap
ACT,ACT,ACT,http://ed-fi.org/Descriptor/EducationOrganizationIdentificationSystemDescriptor.xml,ACT
DUNS,DUNS,DUNS,http://ed-fi.org/Descriptor/EducationOrganizationIdentificationSystemDescriptor.xml,DUNS
Federal,Federal,Federal,http://ed-fi.org/Descriptor/EducationOrganizationIdentificationSystemDescriptor.xml,Federal
IPEDS,IPEDS,IPEDS,http://ed-fi.org/Descriptor/EducationOrganizationIdentificationSystemDescriptor.xml,IPEDS
LEA,LEA,LEA,http://ed-fi.org/Descriptor/EducationOrganizationIdentificationSystemDescriptor.xml,LEA
NCES,NCES,NCES,http://ed-fi.org/Descriptor/EducationOrganizationIdentificationSystemDescriptor.xml,NCES
Other,Other,Other,http://ed-fi.org/Descriptor/EducationOrganizationIdentificationSystemDescriptor.xml,Other
Other Federal,Other Federal,Other Federal,http://ed-fi.org/Descriptor/EducationOrganizationIdentificationSystemDescriptor.xml,Other Federal
School,School,School,http://ed-fi.org/Descriptor/EducationOrganizationIdentificationSystemDescriptor.xml,School
SEA,SEA,SEA,http://ed-fi.org/Descriptor/EducationOrganizationIdentificationSystemDescriptor.xml,SEA
USDE - OPE,USDE - OPE,USDE - OPE,http://ed-fi.org/Descriptor/EducationOrganizationIdentificationSystemDescriptor.xml,USDE - OPE
