CodeValue,ShortDescription,Description,Namespace,LanguageMap
English,English,English,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,English
Other,Other,Other,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Spanish,Spanish,Spanish,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Spanish
Kimbundu,Kimbundu,Kimbundu,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Tigrinya,Tigrinya,Tigrinya,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Korean,Korean,Korean,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Gujarati,Gujarati,Gujarati,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Persian,Persian,Persian,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Navajo; Navaho,Navajo; Navaho,Navajo; Navaho,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
German,German,German,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Malayalam,Malayalam,Malayalam,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Bosnian,Bosnian,Bosnian,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Arabic,Arabic,Arabic,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Swedish,Swedish,Swedish,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Italian,Italian,Italian,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Russian,Russian,Russian,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Inuktitut,Inuktitut,Inuktitut,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Lao,Lao,Lao,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Norwegian,Norwegian,Norwegian,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Turkish,Turkish,Turkish,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Urdu,Urdu,Urdu,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Manipuri,Manipuri,Manipuri,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Hebrew,Hebrew,Hebrew,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Efik,Efik,Efik,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Choctaw,Choctaw,Choctaw,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Hungarian,Hungarian,Hungarian,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Vietnamese,Vietnamese,Vietnamese,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
French,French,French,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Cebuano,Cebuano,Cebuano,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Twi,Twi,Twi,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Afrikaans,Afrikaans,Afrikaans,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Oriya,Oriya,Oriya,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Swahili,Swahili,Swahili,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Bengali,Bengali,Bengali,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Tsonga,Tsonga,Tsonga,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Malay,Malay,Malay,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Romanian,Romanian,Romanian,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Ukrainian,Ukrainian,Ukrainian,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Hindi,Hindi,Hindi,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Japanese,Japanese,Japanese,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Amharic,Amharic,Amharic,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Tamashek,Tamashek,Tamashek,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Chinese,Chinese,Chinese,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Nepali,Nepali,Nepali,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Estonian,Estonian,Estonian,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Sinhala; Sinhalese,Sinhala; Sinhalese,Sinhala; Sinhalese,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Welsh,Welsh,Welsh,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Thai,Thai,Thai,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Indonesian,Indonesian,Indonesian,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Portuguese,Portuguese,Portuguese,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Hausa,Hausa,Hausa,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
Telugu,Telugu,Telugu,http://ed-fi.org/Descriptor/LanguageDescriptor.xml,Other
