CodeValue,ShortDescription,Description,Namespace,StudentCharacteristicMap
Asylee,Asylee,Asylee,http://ed-fi.org/Descriptor/StudentCharacteristicDescriptor.xml,Asylee
Displaced Homemaker,Displaced Homemaker,Displaced Homemaker,http://ed-fi.org/Descriptor/StudentCharacteristicDescriptor.xml,Displaced Homemaker
Foster Care,Foster Care,Foster Care,http://ed-fi.org/Descriptor/StudentCharacteristicDescriptor.xml,Foster Care
Homeless,Homeless,Homeless,http://ed-fi.org/Descriptor/StudentCharacteristicDescriptor.xml,Homeless
Immigrant,Immigrant,Immigrant,http://ed-fi.org/Descriptor/StudentCharacteristicDescriptor.xml,Immigrant
Migrant,Migrant,Migrant,http://ed-fi.org/Descriptor/StudentCharacteristicDescriptor.xml,Migrant
Neglected or Delinquent,Neglected or Delinquent,Neglected or Delinquent,http://ed-fi.org/Descriptor/StudentCharacteristicDescriptor.xml,Neglected or Delinquent
Parent in Military,Parent in Military,Parent in Military,http://ed-fi.org/Descriptor/StudentCharacteristicDescriptor.xml,Parent in Military
Pregnant,Pregnant,Pregnant,http://ed-fi.org/Descriptor/StudentCharacteristicDescriptor.xml,Pregnant
Refugee,Refugee,Refugee,http://ed-fi.org/Descriptor/StudentCharacteristicDescriptor.xml,Refugee
Runaway,Runaway,Runaway,http://ed-fi.org/Descriptor/StudentCharacteristicDescriptor.xml,Runaway
Section 504 Handicapped,Section 504 Handicapped,Section 504 Handicapped,http://ed-fi.org/Descriptor/StudentCharacteristicDescriptor.xml,Section 504 Handicapped
Single Parent,Single Parent,Single Parent,http://ed-fi.org/Descriptor/StudentCharacteristicDescriptor.xml,Single Parent
Unaccompanied Youth,Unaccompanied Youth,Unaccompanied Youth,http://ed-fi.org/Descriptor/StudentCharacteristicDescriptor.xml,Unaccompanied Youth
Other,Other,Other,http://ed-fi.org/Descriptor/StudentCharacteristicDescriptor.xml,Other
