CodeValue,ShortDescription,Description,Namespace,TeachingCredentialMap
Emergency,Emergency,Emergency,http://ed-fi.org/Descriptor/TeachingCredentialTypeDescriptor.xml,Emergency
Intern,Intern,Intern,http://ed-fi.org/Descriptor/TeachingCredentialTypeDescriptor.xml,Intern
Master,Master,Master,http://ed-fi.org/Descriptor/TeachingCredentialTypeDescriptor.xml,Master
Nonrenewable,Nonrenewable,Nonrenewable,http://ed-fi.org/Descriptor/TeachingCredentialTypeDescriptor.xml,Nonrenewable
Other,Other,Other,http://ed-fi.org/Descriptor/TeachingCredentialTypeDescriptor.xml,Other
Paraprofessional,Paraprofessional,Paraprofessional,http://ed-fi.org/Descriptor/TeachingCredentialTypeDescriptor.xml,Paraprofessional
Probationary/Initial,Probationary/Initial,Probationary/Initial,http://ed-fi.org/Descriptor/TeachingCredentialTypeDescriptor.xml,Probationary/Initial
Professional,Professional,Professional,http://ed-fi.org/Descriptor/TeachingCredentialTypeDescriptor.xml,Professional
Provisional,Provisional,Provisional,http://ed-fi.org/Descriptor/TeachingCredentialTypeDescriptor.xml,Provisional
Regular/Standard,Regular/Standard,Regular/Standard,http://ed-fi.org/Descriptor/TeachingCredentialTypeDescriptor.xml,Regular/Standard
Retired,Retired,Retired,http://ed-fi.org/Descriptor/TeachingCredentialTypeDescriptor.xml,Retired
Specialist,Specialist,Specialist,http://ed-fi.org/Descriptor/TeachingCredentialTypeDescriptor.xml,Specialist
Substitute,Substitute,Substitute,http://ed-fi.org/Descriptor/TeachingCredentialTypeDescriptor.xml,Substitute
Teacher Assistant,Teacher Assistant,Teacher Assistant,http://ed-fi.org/Descriptor/TeachingCredentialTypeDescriptor.xml,Teacher Assistant
Temporary,Temporary,Temporary,http://ed-fi.org/Descriptor/TeachingCredentialTypeDescriptor.xml,Temporary
