id,SessionName,SchoolYear,BeginDate,EndDate,TotalInstructionalDays,Term,SchoolReference.id,SchoolReference.ref,SchoolReference.SchoolIdentity.SchoolId,GradingPeriodReference.id,GradingPeriodReference.ref,GradingPeriodReference.GradingPeriodIdentity.GradingPeriod,GradingPeriodReference.GradingPeriodIdentity.PeriodSequence,GradingPeriodReference.GradingPeriodIdentity.SchoolYear,GradingPeriodReference.GradingPeriodIdentity.SchoolReference.SchoolIdentity.SchoolId
SESS_20160822_255901001,2016 - 2017 Fall Semester,2016-2017,8/22/2016 0:00,12/16/2016 0:00,50,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,uri://ed-fi.org/GradingPeriodDescriptor#First Six Weeks,1,2016-2017,255901001
SESS_20170103_255901001,2016 - 2017 Spring Semester,2016-2017,1/3/2017 0:00,5/8/2017 0:00,54,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,uri://ed-fi.org/GradingPeriodDescriptor#Fourth Six Weeks,4,2016-2017,255901001
SESS_20160822_255901002,2016 - 2017 Fall Semester,2016-2017,8/22/2016 0:00,12/16/2016 0:00,50,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901002,,,uri://ed-fi.org/GradingPeriodDescriptor#First Six Weeks,1,2016-2017,255901002
SESS_20170103_255901002,2016 - 2017 Spring Semester,2016-2017,1/3/2017 0:00,5/8/2017 0:00,54,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901002,,,uri://ed-fi.org/GradingPeriodDescriptor#Fourth Six Weeks,4,2016-2017,255901002
SESS_20160822_255901003,2016 - 2017 Fall Semester,2016-2017,8/22/2016 0:00,12/16/2016 0:00,50,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901003,,,uri://ed-fi.org/GradingPeriodDescriptor#First Six Weeks,1,2016-2017,255901003
SESS_20170103_255901003,2016 - 2017 Spring Semester,2016-2017,1/3/2017 0:00,5/8/2017 0:00,54,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901003,,,uri://ed-fi.org/GradingPeriodDescriptor#Fourth Six Weeks,4,2016-2017,255901003
SESS_20160822_255901004,2016 - 2017 Fall Semester,2016-2017,8/22/2016 0:00,12/16/2016 0:00,50,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901004,,,uri://ed-fi.org/GradingPeriodDescriptor#First Six Weeks,1,2016-2017,255901004
SESS_20170103_255901004,2016 - 2017 Spring Semester,2016-2017,1/3/2017 0:00,5/8/2017 0:00,54,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901004,,,uri://ed-fi.org/GradingPeriodDescriptor#Fourth Six Weeks,4,2016-2017,255901004
SESS_20160822_255901005,2016 - 2017 Fall Semester,2016-2017,8/22/2016 0:00,12/16/2016 0:00,50,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901005,,,uri://ed-fi.org/GradingPeriodDescriptor#First Six Weeks,1,2016-2017,255901005
SESS_20170103_255901005,2016 - 2017 Spring Semester,2016-2017,1/3/2017 0:00,5/8/2017 0:00,54,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901005,,,uri://ed-fi.org/GradingPeriodDescriptor#Fourth Six Weeks,4,2016-2017,255901005
