ClassPeriodName,SchoolReference.id,SchoolReference.ref,SchoolReference.SchoolIdentity.SchoolId
01 - Traditional,,,123456001
02 - Traditional,,,123456001
03 - Traditional,,,123456001
04 - Traditional,,,123456001
05 - Traditional,,,123456001
06 - Traditional,,,123456001
07 - Traditional,,,123456001
08 - Traditional,,,123456001
01 - Traditional,,,123456
02 - Traditional,,,123456
03 - Traditional,,,123456
04 - Traditional,,,123456
05 - Traditional,,,123456
06 - Traditional,,,123456
07 - Traditional,,,123456
08 - Traditional,,,123456
01 - Traditional,,,12346
02 - Traditional,,,12346
03 - Traditional,,,12346
04 - Traditional,,,12346
05 - Traditional,,,12346
06 - Traditional,,,12346
07 - Traditional,,,12346
08 - Traditional,,,12346
