Name,Frequency
Aarya,0.002382087
Abby,0.006431634
Abigail,0.007384469
Aisha,0.004287756
Aiza,0.004525965
Aleena,0.004049547
Alexandra,0.002620295
Alice,0.005717008
Alicia,0.002858504
Alina,0.009766556
Alisa,0.002620295
Alisha,0.002620295
Allison,0.00357313
Alyssa,0.005240591
Amanda,0.00357313
Amber,0.004049547
Amelia,0.006431634
Amina,0.002382087
Amy,0.007384469
Anaya,0.007622677
Anayah,0.002382087
Angel,0.003811339
Angela,0.018342068
Angelina,0.009051929
Anna,0.009766556
Annabelle,0.003096713
Anne,0.003334921
Annie,0.00714626
Anya,0.002382087
Aria,0.006193425
Ariana,0.00714626
Arianna,0.003096713
Ariel,0.003334921
Arisha,0.002382087
Arya,0.006669843
Ashley,0.007860886
Athena,0.002858504
Audrey,0.007384469
Ava,0.008337303
Avery,0.004049547
Ayesha,0.006669843
Bella,0.006908051
Carina,0.004287756
Caroline,0.00357313
Catherine,0.004525965
Cecilia,0.002382087
Celine,0.002858504
Charlotte,0.007384469
Chelsea,0.003096713
Chloe,0.026441162
Christina,0.004049547
Cindy,0.005955217
Claire,0.011672225
Crystal,0.004049547
Cynthia,0.005240591
Doris,0.002382087
Eileen,0.004287756
Elaine,0.004049547
Eleanor,0.002858504
Elena,0.004525965
Eliana,0.002620295
Elina,0.003811339
Elizabeth,0.004764173
Ella,0.009528347
Ellie,0.006193425
Elsa,0.005478799
Emily,0.021915198
Emma,0.022868032
Erica,0.002858504
Erin,0.002620295
Eshaal,0.002858504
Esther,0.002858504
Eva,0.006669843
Evelyn,0.006193425
Fatima,0.005478799
Fiona,0.008813721
Gabriella,0.004287756
Gia,0.002620295
Grace,0.015245355
Hafsa,0.002858504
Hailey,0.005478799
Hana,0.002858504
Hanna,0.00357313
Hannah,0.007622677
Inaaya,0.002620295
Inaya,0.002620295
Irene,0.003811339
Iris,0.005002382
Isabel,0.003096713
Isabella,0.013816103
Isabelle,0.005478799
Ivy,0.00714626
Janice,0.002858504
Jannat,0.003096713
Jasmine,0.008575512
Jennifer,0.004049547
Jenny,0.004764173
Jessica,0.008337303
Jessie,0.004287756
Joanna,0.007622677
Jocelyn,0.003811339
Joy,0.002620295
Joyce,0.00357313
Julia,0.006193425
Kaitlyn,0.004764173
Karina,0.003096713
Kate,0.002382087
Katelyn,0.002858504
Katherine,0.008813721
Katie,0.00357313
Kayla,0.005478799
Kaylee,0.004287756
Kelly,0.003334921
Khadija,0.002382087
Kylie,0.003334921
Layla,0.003096713
Leah,0.005955217
Lila,0.002620295
Lillian,0.003334921
Lily,0.003334921
Lina,0.002858504
Lisa,0.002620295
Livia,0.002620295
Luna,0.002382087
Lydia,0.003096713
Madeline,0.002382087
Madelyn,0.002620295
Madison,0.006669843
Maggie,0.003334921
Mandy,0.002620295
Maryam,0.004764173
Maya,0.005955217
Megan,0.003096713
Melody,0.006669843
Mia,0.015959981
Michelle,0.004049547
Mila,0.005955217
Miranda,0.003334921
Naomi,0.00357313
Natalie,0.003811339
Nicole,0.006669843
Nina,0.005002382
Noor,0.003096713
Olivia,0.033587423
Penelope,0.00357313
Phoebe,0.003096713
Priscilla,0.002382087
Queena,0.002620295
Queenie,0.004049547
Rachel,0.005717008
Raina,0.002382087
Rebecca,0.002620295
Riley,0.002382087
Sabrina,0.004525965
Safa,0.002620295
Samantha,0.004287756
Samara,0.003096713
Sara,0.003334921
Sarah,0.008337303
Scarlett,0.004525965
Selena,0.003334921
Selina,0.004525965
Serena,0.005717008
Sharon,0.003811339
Shirley,0.004049547
Shreya,0.002382087
Sofia,0.004525965
Sophia,0.026441162
Sophie,0.006908051
Stella,0.004525965
Stephanie,0.005002382
Summer,0.002858504
Syeda,0.003811339
Sylvia,0.002858504
Tenzin,0.007860886
Tiffany,0.006908051
Vanessa,0.002858504
Vicky,0.00357313
Victoria,0.005955217
Vivian,0.007384469
Winnie,0.002620295
Zainab,0.005717008
Zara,0.008813721
Zoe,0.008099095
Zoey,0.005717008
