Name,Frequency
Aaliyah,0.005653202
Abigail,0.010689691
Adelyn,0.001027855
Adriana,0.00431699
Adrianna,0.001850139
Aileen,0.00205571
Alana,0.001747353
Alanis,0.002672423
Alejandra,0.001747353
Alessandra,0.001233426
Alexa,0.00729777
Alexandra,0.00318635
Alexia,0.001336211
Alexis,0.001336211
Alice,0.001952924
Alicia,0.001438997
Alina,0.003083565
Alison,0.002158495
Alissa,0.001027855
Aliyah,0.001952924
Allison,0.010586905
Allyson,0.001644568
Alma,0.001336211
Alondra,0.001541782
Alyssa,0.00318635
Amalia,0.001541782
Amanda,0.00318635
Amaya,0.002775208
Amber,0.001850139
Amelia,0.006167129
Amy,0.007503341
Ana,0.003391921
Anabella,0.001027855
Anabelle,0.001027855
Anaya,0.001233426
Andrea,0.004728132
Angela,0.001747353
Angelica,0.003083565
Angelina,0.003494707
Angeline,0.001233426
Angelique,0.001747353
Angie,0.001952924
Anna,0.001438997
Annabella,0.001541782
Annabelle,0.001233426
Annalise,0.001233426
April,0.001233426
Arabella,0.001644568
Arely,0.00113064
Aria,0.002877994
Ariana,0.009661836
Arianna,0.008736766
Ariel,0.001952924
Ariella,0.001644568
Arielle,0.001336211
Arya,0.001336211
Ashley,0.014287183
Athena,0.002364066
Aubree,0.001850139
Aubrey,0.004625347
Audrey,0.001747353
Aurora,0.001027855
Autumn,0.001336211
Ava,0.008120053
Avery,0.002877994
Ayleen,0.001233426
Aylin,0.004625347
Bella,0.0063727
Bianca,0.002261281
Brenda,0.001438997
Briana,0.001438997
Brianna,0.008839552
Brielle,0.001027855
Brigitte,0.00113064
Brittany,0.003494707
Brooke,0.001027855
Bryanna,0.001233426
Camila,0.019837599
Carla,0.001336211
Carmen,0.001438997
Carolina,0.001027855
Caroline,0.001027855
Cataleya,0.001233426
Catalina,0.001952924
Catherine,0.00113064
Cecilia,0.001027855
Celeste,0.001233426
Celine,0.001027855
Charlotte,0.00318635
Chelsea,0.003494707
Chloe,0.006989413
Christina,0.001027855
Crystal,0.001644568
Cynthia,0.001027855
Daisy,0.001952924
Daleyza,0.001438997
Daniela,0.005139274
Daniella,0.003289136
Danna,0.00318635
Dayana,0.001644568
Delilah,0.004214205
Destiny,0.002569637
Diana,0.003391921
Eileen,0.00113064
Elena,0.003289136
Eliana,0.002980779
Elisa,0.001438997
Eliza,0.00113064
Elizabeth,0.004111419
Ella,0.001952924
Emely,0.006167129
Emilia,0.002158495
Emily,0.017473533
Emma,0.017165176
Erika,0.001336211
Esmeralda,0.001952924
Esther,0.00205571
Eva,0.003391921
Evangeline,0.00113064
Evelyn,0.003289136
Faith,0.003289136
Francesca,0.001233426
Gabriela,0.004625347
Gabriella,0.008017268
Genesis,0.01048412
Gia,0.001233426
Gianna,0.004419776
Giselle,0.003289136
Grace,0.004214205
Guadalupe,0.002980779
Hailey,0.009456265
Hailie,0.001027855
Hannah,0.002158495
Haylee,0.001541782
Hazel,0.001233426
Heaven,0.001541782
Heidi,0.00113064
Helen,0.001850139
Isabel,0.00431699
Isabella,0.034021996
Isabelle,0.002775208
Itzel,0.002466852
Ivanna,0.00113064
Izabella,0.001027855
Jacqueline,0.001850139
Jade,0.004214205
Jasmine,0.003494707
Jayla,0.002261281
Jaylah,0.001541782
Jayleen,0.002569637
Jaylene,0.001336211
Jaylin,0.001438997
Jazlyn,0.002261281
Jazmin,0.003391921
Jennifer,0.003494707
Jessica,0.002158495
Jessie,0.00113064
Jimena,0.00113064
Jocelyn,0.003289136
Joselyn,0.001027855
Julia,0.00205571
Juliana,0.002775208
Julianna,0.001952924
Juliet,0.001644568
Juliette,0.002158495
Julissa,0.001541782
Kailey,0.001336211
Kaitlyn,0.002569637
Kamila,0.002158495
Karen,0.001952924
Karla,0.002364066
Kate,0.001027855
Katelyn,0.001747353
Katherine,0.003391921
Katie,0.001233426
Kayla,0.004522561
Kaylee,0.007811697
Kayleen,0.001541782
Kaylie,0.001027855
Kaylin,0.001233426
Keila,0.001027855
Kelly,0.001644568
Kendra,0.00113064
Keyla,0.001541782
Khloe,0.006989413
Kiara,0.003494707
Kimberly,0.007400555
Kylie,0.005344845
Laila,0.002466852
Laura,0.001541782
Lauren,0.001850139
Layla,0.005139274
Leah,0.010278549
Leila,0.001952924
Leilani,0.001850139
Leslie,0.003494707
Lesly,0.001541782
Leyla,0.00113064
Lia,0.001747353
Liana,0.001233426
Liliana,0.001747353
Lillian,0.001027855
Lily,0.001952924
Lindsay,0.001541782
Litzy,0.001027855
Lizbeth,0.001952924
Lola,0.001438997
London,0.002980779
Londyn,0.001027855
Lucia,0.001952924
Luciana,0.001850139
Luna,0.00431699
Mackenzie,0.001541782
Madeline,0.002364066
Madelyn,0.001541782
Madison,0.009250694
Magaly,0.00113064
Maia,0.001438997
Makayla,0.001644568
Maria,0.005858773
Mariah,0.001027855
Mariana,0.001850139
Marilyn,0.001336211
Marjorie,0.001644568
Maya,0.004625347
Megan,0.002158495
Melanie,0.010895262
Melany,0.004008634
Melina,0.001850139
Melissa,0.002980779
Melody,0.002261281
Mia,0.026210299
Michelle,0.004522561
Mikaela,0.00113064
Mila,0.004728132
Miranda,0.001336211
Monica,0.001233426
Monserrat,0.001027855
Montserrat,0.001541782
Mya,0.002775208
Naomi,0.002775208
Nashla,0.001952924
Natalia,0.004625347
Natalie,0.002877994
Nathalie,0.002466852
Nathaly,0.001952924
Nayeli,0.001747353
Nevaeh,0.001336211
Nicole,0.004933703
Nina,0.00113064
Nyla,0.001027855
Nylah,0.001541782
Olivia,0.009867407
Paige,0.001438997
Pamela,0.001336211
Paris,0.00113064
Penelope,0.005961558
Peyton,0.001644568
Rachel,0.001233426
Rebecca,0.001233426
Riley,0.001541782
Rose,0.003289136
Ruby,0.002261281
Ruth,0.001027855
Sabrina,0.001850139
Salome,0.00113064
Samantha,0.009353479
Sara,0.002158495
Sarah,0.004008634
Sarai,0.001747353
Savannah,0.004419776
Scarlett,0.008222839
Selena,0.001438997
Serenity,0.003597492
Sherlyn,0.002261281
Shirley,0.001541782
Sienna,0.001027855
Skyla,0.001644568
Skylar,0.002569637
Skyler,0.00113064
Sofia,0.020454312
Sophia,0.026621441
Sophie,0.002672423
Stella,0.001644568
Stephanie,0.004008634
Tatiana,0.001233426
Taylor,0.002364066
Tiffany,0.00205571
Trinity,0.00113064
Valentina,0.013876041
Valeria,0.003494707
Valerie,0.005858773
Valery,0.001233426
Vanessa,0.002980779
Victoria,0.015212252
Violet,0.002775208
Violeta,0.001233426
Wendy,0.00113064
Ximena,0.002672423
Yaretzi,0.00205571
Yasmin,0.001027855
Zoe,0.008942337
Zoey,0.003494707
