SectionIdentifier,SequenceOfCourse,EducationalEnvironment,InstructionLanguage,AvailableCredits.CreditConversion,AvailableCredits.CreditType,AvailableCredits.Credits1,CourseOfferingReference.id,CourseOfferingReference.ref,CourseOfferingReference.CourseOfferingIdentity.LocalCourseCode,CourseOfferingReference.CourseOfferingIdentity.SessionReference.id,CourseOfferingReference.CourseOfferingIdentity.SessionReference.ref,CourseOfferingReference.CourseOfferingIdentity.SessionReference.SessionIdentity.SchoolYear,CourseOfferingReference.CourseOfferingIdentity.SessionReference.SessionIdentity.SessionName,CourseOfferingReference.CourseOfferingIdentity.SessionReference.SessionIdentity.SchoolReference.id,CourseOfferingReference.CourseOfferingIdentity.SessionReference.SessionIdentity.SchoolReference.ref,CourseOfferingReference.CourseOfferingIdentity.SessionReference.SessionIdentity.SchoolReference.SchoolIdentity.SchoolId,CourseOfferingReference.CourseOfferingIdentity.SessionReference.SessionLookup.SchoolYear,CourseOfferingReference.CourseOfferingIdentity.SessionReference.SessionLookup.SessionName,CourseOfferingReference.CourseOfferingIdentity.SessionReference.SessionLookup.Term,CourseOfferingReference.CourseOfferingIdentity.SessionReference.SessionLookup.SchoolReference.id,CourseOfferingReference.CourseOfferingIdentity.SessionReference.SessionLookup.SchoolReference.ref,CourseOfferingReference.CourseOfferingIdentity.SessionReference.SessionLookup.SchoolReference.SchoolIdentity.SchoolId,CourseOfferingReference.CourseOfferingIdentity.SchoolReference.id,CourseOfferingReference.CourseOfferingIdentity.SchoolReference.ref,CourseOfferingReference.CourseOfferingIdentity.SchoolReference.SchoolIdentity.SchoolId,LocationSchoolReference.id,LocationSchoolReference.ref,LocationSchoolReference.SchoolIdentity.SchoolId,LocationReference.id,LocationReference.ref,LocationReference.LocationIdentity.ClassroomIdentificationCode,LocationReference.LocationIdentity.SchoolReference.id,LocationReference.LocationIdentity.SchoolReference.ref,LocationReference.LocationIdentity.SchoolReference.SchoolIdentity.SchoolId,ClassPeriodReference.id,ClassPeriodReference.ref,ClassPeriodReference.ClassPeriodIdentity.ClassPeriodName,ClassPeriodReference.ClassPeriodIdentity.SchoolReference.id,ClassPeriodReference.ClassPeriodIdentity.SchoolReference.ref,ClassPeriodReference.ClassPeriodIdentity.SchoolReference.SchoolIdentity.SchoolId,ProgramReference.ProgramIdentity.ProgramName,ProgramReference.ProgramIdentity.ProgramType,ProgramReference.ProgramIdentity.EducationOrganizationReference.id,ProgramReference.ProgramIdentity.EducationOrganizationReference.ref,ProgramReference.ProgramIdentity.EducationOrganizationReference.EducationOrganizationIdentity.EducationOrganizationId
123456_01-Traditional_SCI01_100_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,SCI-01,,,2016-2017,2016 - 2017 Fall Semester,,,123456,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,123456,,,123456,,,123456,,,100,,,123456,,,01 - Traditional,,,123456,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,123456
123456_01-Traditional_SCI02_100_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,SCI-02,,,2016-2017,2016 - 2017 Fall Semester,,,123456,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,123456,,,123456,,,123456,,,100,,,123456,,,01 - Traditional,,,123456,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,123456
123456_01-Traditional_SCI01_100_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,SCI-01,,,2016-2017,2016 - 2017 Spring Semester,,,123456,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,123456,,,123456,,,123456,,,100,,,123456,,,01 - Traditional,,,123456,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,123456
123456_01-Traditional_SCI02_100_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,SCI-02,,,2016-2017,2016 - 2017 Spring Semester,,,123456,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,123456,,,123456,,,123456,,,100,,,123456,,,01 - Traditional,,,123456,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,123456
123456_02-Traditional_SCI01_100_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,SCI-01,,,2016-2017,2016 - 2017 Fall Semester,,,123456,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,123456,,,123456,,,123456,,,100,,,123456,,,02 - Traditional,,,123456,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,123456
123456_02-Traditional_SCI02_100_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,SCI-02,,,2016-2017,2016 - 2017 Fall Semester,,,123456,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,123456,,,123456,,,123456,,,100,,,123456,,,02 - Traditional,,,123456,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,123456
123456_02-Traditional_SCI01_100_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,SCI-01,,,2016-2017,2016 - 2017 Spring Semester,,,123456,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,123456,,,123456,,,123456,,,100,,,123456,,,02 - Traditional,,,123456,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,123456
123456_02-Traditional_SCI02_100_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,SCI-02,,,2016-2017,2016 - 2017 Spring Semester,,,123456,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,123456,,,123456,,,123456,,,100,,,123456,,,02 - Traditional,,,123456,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,123456
123456_03-Traditional_SCI01_100_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,SCI-01,,,2016-2017,2016 - 2017 Fall Semester,,,123456,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,123456,,,123456,,,123456,,,100,,,123456,,,03 - Traditional,,,123456,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,123456
123456_03-Traditional_SCI02_100_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,SCI-02,,,2016-2017,2016 - 2017 Fall Semester,,,123456,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,123456,,,123456,,,123456,,,100,,,123456,,,03 - Traditional,,,123456,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,123456
123456_03-Traditional_SCI01_100_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,SCI-01,,,2016-2017,2016 - 2017 Spring Semester,,,123456,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,123456,,,123456,,,123456,,,100,,,123456,,,03 - Traditional,,,123456,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,123456
