CodeValue,ShortDescription,Description,Namespace
Composite,Composite,Composite,uri://ed-fi.org/AcademicSubjectDescriptor
Critical Reading,Critical Reading,Critical Reading,uri://ed-fi.org/AcademicSubjectDescriptor
English,English,English,uri://ed-fi.org/AcademicSubjectDescriptor
English Language Arts,English Language Arts,English Language Arts,uri://ed-fi.org/AcademicSubjectDescriptor
Reading,Reading,Reading,uri://ed-fi.org/AcademicSubjectDescriptor
Mathematics,Mathematics,Mathematics,uri://ed-fi.org/AcademicSubjectDescriptor
Life and Physical Sciences,Life and Physical Sciences,Life and Physical Sciences,uri://ed-fi.org/AcademicSubjectDescriptor
Social Sciences and History,Social Sciences and History,Social Sciences and History,uri://ed-fi.org/AcademicSubjectDescriptor
Social Studies,Social Studies,Social Studies,uri://ed-fi.org/AcademicSubjectDescriptor
Science,Science,Science,uri://ed-fi.org/AcademicSubjectDescriptor
Fine and Performing Arts,Fine and Performing Arts,Fine and Performing Arts,uri://ed-fi.org/AcademicSubjectDescriptor
Foreign Language and Literature,Foreign Language and Literature,Foreign Language and Literature,uri://ed-fi.org/AcademicSubjectDescriptor
Writing,Writing,Writing,uri://ed-fi.org/AcademicSubjectDescriptor
"Physical, Health, and Safety Education","Physical, Health, and Safety Education","Physical, Health, and Safety Education",uri://ed-fi.org/AcademicSubjectDescriptor
Career and Technical Education,Career and Technical Education,Career and Technical Education,uri://ed-fi.org/AcademicSubjectDescriptor
Religious Education and Theology,Religious Education and Theology,Religious Education and Theology,uri://ed-fi.org/AcademicSubjectDescriptor
Military Science,Military Science,Military Science,uri://ed-fi.org/AcademicSubjectDescriptor
Other,Other,Other,uri://ed-fi.org/AcademicSubjectDescriptor
Cross Subject,Cross Subject,Cross Subject,uri://ed-fi.org/AcademicSubjectDescriptor
