CodeValue,ShortDescription,Description,Namespace
Pass,Pass,Pass,uri://ed-fi.org/AttemptStatusDescriptor
Fail,Fail,Fail,uri://ed-fi.org/AttemptStatusDescriptor
Incomplete,Incomplete,Incomplete,uri://ed-fi.org/AttemptStatusDescriptor
Withdrawn,Withdrawn,Withdrawn,uri://ed-fi.org/AttemptStatusDescriptor
Audited,Audited,Audited,uri://ed-fi.org/AttemptStatusDescriptor
Died or is permanently incapacitated,DEPRECATED: Died or is permanently incapacitated,DEPRECATED: Died or is permanently incapacitated,uri://ed-fi.org/AttemptStatusDescriptor
Discontinued schooling,DEPRECATED: Discontinued schooling,DEPRECATED: Discontinued schooling,uri://ed-fi.org/AttemptStatusDescriptor
Graduated with a high school diploma,DEPRECATED: Graduated with a high school diploma,DEPRECATED: Graduated with a high school diploma,uri://ed-fi.org/AttemptStatusDescriptor
Moved out of state,DEPRECATED: Moved out of state,DEPRECATED: Moved out of state,uri://ed-fi.org/AttemptStatusDescriptor
Other,DEPRECATED: Other,DEPRECATED: Other,uri://ed-fi.org/AttemptStatusDescriptor
Reached maximum age,DEPRECATED: Reached maximum age,DEPRECATED: Reached maximum age,uri://ed-fi.org/AttemptStatusDescriptor
Received certificate of completion or equivalent,"DEPRECATED: Received completion certificate, modified diploma, or met IEP r","DEPRECATED: Received certificate of completion, modified diploma, or finished IEP requirements",uri://ed-fi.org/AttemptStatusDescriptor
Suspended or expelled from school,DEPRECATED: Suspended or expelled from school,DEPRECATED: Suspended or expelled from school,uri://ed-fi.org/AttemptStatusDescriptor
Transferred to another district or school,DEPRECATED: Transferred to another district or school,DEPRECATED: Transferred to another district or school,uri://ed-fi.org/AttemptStatusDescriptor
Unknown reason,DEPRECATED: Unknown reason,DEPRECATED: Unknown reason,uri://ed-fi.org/AttemptStatusDescriptor
Withdrawal by a parent (or guardian),DEPRECATED: Withdrawal by a parent (or guardian),DEPRECATED: Withdrawal by a parent (or guardian),uri://ed-fi.org/AttemptStatusDescriptor
