CodeValue,ShortDescription,Description,Namespace
"Agriculture, Food and Natural Resources","Agriculture, Food and Natural Resources","Agriculture, Food and Natural Resources",uri://ed-fi.org/CareerPathwayDescriptor
Architecture and Construction,Architecture and Construction,Architecture and Construction,uri://ed-fi.org/CareerPathwayDescriptor
"Arts, A/V Technology and Communications","Arts, A/V Technology and Communications","Arts, A/V Technology and Communications",uri://ed-fi.org/CareerPathwayDescriptor
"Business, Management and Administration","Business, Management and Administration","Business, Management and Administration",uri://ed-fi.org/CareerPathwayDescriptor
Education and Training,Education and Training,Education and Training,uri://ed-fi.org/CareerPathwayDescriptor
Finance,Finance,Finance,uri://ed-fi.org/CareerPathwayDescriptor
Government and Public Administration,Government and Public Administration,Government and Public Administration,uri://ed-fi.org/CareerPathwayDescriptor
Health Science,Health Science,Health Science,uri://ed-fi.org/CareerPathwayDescriptor
Hospitality and Tourism,Hospitality and Tourism,Hospitality and Tourism,uri://ed-fi.org/CareerPathwayDescriptor
Human Services,Human Services,Human Services,uri://ed-fi.org/CareerPathwayDescriptor
Information Technology,Information Technology,Information Technology,uri://ed-fi.org/CareerPathwayDescriptor
"Law, Public Safety, Corrections and Security","Law, Public Safety, Corrections and Security","Law, Public Safety, Corrections and Security",uri://ed-fi.org/CareerPathwayDescriptor
Manufacturing,Manufacturing,Manufacturing,uri://ed-fi.org/CareerPathwayDescriptor
"Marketing, Sales and Service","Marketing, Sales and Service","Marketing, Sales and Service",uri://ed-fi.org/CareerPathwayDescriptor
Other,Other,Other,uri://ed-fi.org/CareerPathwayDescriptor
"Science, Technology, Engineering and Mathematics","Science, Technology, Engineering and Mathematics","Science, Technology, Engineering and Mathematics",uri://ed-fi.org/CareerPathwayDescriptor
"Transportation, Distribution and Logistics","Transportation, Distribution and Logistics","Transportation, Distribution and Logistics",uri://ed-fi.org/CareerPathwayDescriptor
