CodeValue,ShortDescription,Description,Namespace
Eighth grade,Eighth grade,Eighth grade,uri://ed-fi.org/CohortYearTypeDescriptor
Eleventh grade,Eleventh grade,Eleventh grade,uri://ed-fi.org/CohortYearTypeDescriptor
Fifth grade,Fifth grade,Fifth grade,uri://ed-fi.org/CohortYearTypeDescriptor
First grade,First grade,First grade,uri://ed-fi.org/CohortYearTypeDescriptor
Fourth grade,Fourth grade,Fourth grade,uri://ed-fi.org/CohortYearTypeDescriptor
Ninth grade,Ninth grade,Ninth grade,uri://ed-fi.org/CohortYearTypeDescriptor
Second grade,Second grade,Second grade,uri://ed-fi.org/CohortYearTypeDescriptor
Seventh grade,Seventh grade,Seventh grade,uri://ed-fi.org/CohortYearTypeDescriptor
Sixth grade,Sixth grade,Sixth grade,uri://ed-fi.org/CohortYearTypeDescriptor
Tenth grade,Tenth grade,Tenth grade,uri://ed-fi.org/CohortYearTypeDescriptor
Third grade,Third grade,Third grade,uri://ed-fi.org/CohortYearTypeDescriptor
Twelfth grade,Twelfth grade,Twelfth grade,uri://ed-fi.org/CohortYearTypeDescriptor
