CodeValue,ShortDescription,Description,Namespace
Adult education credit,Adult education credit,Adult education credit,uri://ed-fi.org/CreditTypeDescriptor
Career and Technical Education credit,Career and Technical Education credit,Career and Technical Education credit,uri://ed-fi.org/CreditTypeDescriptor
Carnegie unit,Carnegie unit,Carnegie unit,uri://ed-fi.org/CreditTypeDescriptor
Converted occupational experience credit,Converted occupational experience credit,Converted occupational experience credit,uri://ed-fi.org/CreditTypeDescriptor
Correspondence credit,Correspondence credit,Correspondence credit,uri://ed-fi.org/CreditTypeDescriptor
Credit by examination,Credit by examination,Credit by examination,uri://ed-fi.org/CreditTypeDescriptor
Intersession hour credit,Intersession hour credit,Intersession hour credit,uri://ed-fi.org/CreditTypeDescriptor
Long session hour credit,Long session hour credit,Long session hour credit,uri://ed-fi.org/CreditTypeDescriptor
Mini-term hour credit,Mini-term hour credit,Mini-term hour credit,uri://ed-fi.org/CreditTypeDescriptor
Nine month year hour credit,Nine month year hour credit,Nine month year hour credit,uri://ed-fi.org/CreditTypeDescriptor
Other,Other,Other,uri://ed-fi.org/CreditTypeDescriptor
Quarter hour credit,Quarter hour credit,Quarter hour credit,uri://ed-fi.org/CreditTypeDescriptor
Quinmester hour credit,Quinmester hour credit,Quinmester hour credit,uri://ed-fi.org/CreditTypeDescriptor
Semester hour credit,Semester hour credit,Semester hour credit,uri://ed-fi.org/CreditTypeDescriptor
Summer term hour credit,Summer term hour credit,Summer term hour credit,uri://ed-fi.org/CreditTypeDescriptor
Trimester hour credit,Trimester hour credit,Trimester hour credit,uri://ed-fi.org/CreditTypeDescriptor
Twelve month year hour credit,Twelve month year hour credit,Twelve month year hour credit,uri://ed-fi.org/CreditTypeDescriptor
