CodeValue,Description,Namespace,ShortDescription,EffectiveBeginDate,EffectiveEndDate
Autism Spectrum Disorders,Autism Spectrum Disorders,uri://ed-fi.org/DisabilityDescriptor,Autism Spectrum Disorders,,
Deaf-Blindness,Deaf-Blindness,uri://ed-fi.org/DisabilityDescriptor,Deaf-Blindness,,
"Hearing Impairment, including Deafness","Hearing Impairment, including Deafness",uri://ed-fi.org/DisabilityDescriptor,"Hearing Impairment, including Deafness",,
Intellectual Disability,Intellectual Disability,uri://ed-fi.org/DisabilityDescriptor,Intellectual Disability,,
Infant/Toddler with a Disability,Infant/Toddler with a Disability,uri://ed-fi.org/DisabilityDescriptor,Infant/Toddler with a Disability,,
Medical condition,Medical condition,uri://ed-fi.org/DisabilityDescriptor,Medical condition,,
Mental impairment,Mental impairment,uri://ed-fi.org/DisabilityDescriptor,Mental impairment,,
Motor impairment,Motor impairment,uri://ed-fi.org/DisabilityDescriptor,Motor impairment,,
Multiple Disabilities,Multiple disabilities,uri://ed-fi.org/DisabilityDescriptor,Multiple Disabilities,,
Orthopedic Impairment,Orthopedic Impairment,uri://ed-fi.org/DisabilityDescriptor,Orthopedic Impairment,,
Other,Other,uri://ed-fi.org/DisabilityDescriptor,Other,,
Other Health Impairment,Other Health Impairment,uri://ed-fi.org/DisabilityDescriptor,Other Health Impairment,,
Physical Disability,Physical Disability,uri://ed-fi.org/DisabilityDescriptor,Physical Disability,,
Preschooler with a Disability,Preschooler with a Disability,uri://ed-fi.org/DisabilityDescriptor,Preschooler with a Disability,,
Sensory impairment,Sensory impairment,uri://ed-fi.org/DisabilityDescriptor,Sensory impairment,,
Serious Emotional Disability,Serious Emotional Disability,uri://ed-fi.org/DisabilityDescriptor,Serious Emotional Disability,,
Speech or Language Impairment,Speech or Language Impairment,uri://ed-fi.org/DisabilityDescriptor,Speech or Language Impairment,,
Specific Learning Disability,Specific Learning Disability,uri://ed-fi.org/DisabilityDescriptor,Specific Learning Disability,,
Traumatic Brain Injury,Traumatic Brain Injury,uri://ed-fi.org/DisabilityDescriptor,Traumatic Brain Injury,,
"Visual Impairment, including Blindness","Visual Impairment, including Blindness",uri://ed-fi.org/DisabilityDescriptor,"Visual Impairment, including Blindness",,
