CodeValue,ShortDescription,Description,Namespace,EducationOrganizationIdentificationSystemMap
ACT,ACT,ACT,http://www.ed-fi.org/Descriptor/EducationOrganizationIdentificationSystemDescriptor.xml,ACT
DUNS,DUNS,DUNS,http://www.ed-fi.org/Descriptor/EducationOrganizationIdentificationSystemDescriptor.xml,DUNS
Federal,Federal,Federal,http://www.ed-fi.org/Descriptor/EducationOrganizationIdentificationSystemDescriptor.xml,Federal
IPEDS,IPEDS,IPEDS,http://www.ed-fi.org/Descriptor/EducationOrganizationIdentificationSystemDescriptor.xml,IPEDS
LEA,LEA,LEA,http://www.ed-fi.org/Descriptor/EducationOrganizationIdentificationSystemDescriptor.xml,LEA
NCES,NCES,NCES,http://www.ed-fi.org/Descriptor/EducationOrganizationIdentificationSystemDescriptor.xml,NCES
Other,Other,Other,http://www.ed-fi.org/Descriptor/EducationOrganizationIdentificationSystemDescriptor.xml,Other
Other Federal,Other Federal,Other Federal,http://www.ed-fi.org/Descriptor/EducationOrganizationIdentificationSystemDescriptor.xml,Other Federal
School,School,School,http://www.ed-fi.org/Descriptor/EducationOrganizationIdentificationSystemDescriptor.xml,School
SEA,SEA,SEA,http://www.ed-fi.org/Descriptor/EducationOrganizationIdentificationSystemDescriptor.xml,SEA
USDE - OPE,USDE - OPE,USDE - OPE,http://www.ed-fi.org/Descriptor/EducationOrganizationIdentificationSystemDescriptor.xml,USDE - OPE
