CodeValue,ShortDescription,Description,Namespace
Classroom,Classroom,Classroom,uri://ed-fi.org/EducationalEnvironmentDescriptor
Homebound,Homebound,Homebound,uri://ed-fi.org/EducationalEnvironmentDescriptor
Hospital class,Hospital class,Hospital class,uri://ed-fi.org/EducationalEnvironmentDescriptor
In-school suspension,In-school suspension,In-school suspension,uri://ed-fi.org/EducationalEnvironmentDescriptor
Laboratory,Laboratory,Laboratory,uri://ed-fi.org/EducationalEnvironmentDescriptor
Mainstream (Special Education),Mainstream (Special Education),Mainstream (Special Education),uri://ed-fi.org/EducationalEnvironmentDescriptor
Off-school center,Off-school center,Off-school center,uri://ed-fi.org/EducationalEnvironmentDescriptor
Pull-out class,Pull-out class,Pull-out class,uri://ed-fi.org/EducationalEnvironmentDescriptor
Resource room,Resource room,Resource room,uri://ed-fi.org/EducationalEnvironmentDescriptor
Self-contained (Special Education),Self-contained (Special Education),Self-contained (Special Education),uri://ed-fi.org/EducationalEnvironmentDescriptor
Self-study,Self-study,Self-study,uri://ed-fi.org/EducationalEnvironmentDescriptor
Shop,Shop,Shop,uri://ed-fi.org/EducationalEnvironmentDescriptor
Single sex classroom,Single sex classroom,Single sex classroom,uri://ed-fi.org/EducationalEnvironmentDescriptor
