CodeValue,ShortDescription,Description,Namespace
ady,Adyghe,Adyghe,uri://ed-fi.org/LanguageDescriptor
gsw,Swiss German,Swiss German,uri://ed-fi.org/LanguageDescriptor
rup,Aromanian,Aromanian,uri://ed-fi.org/LanguageDescriptor
ast,Asturian,Asturian,uri://ed-fi.org/LanguageDescriptor
bej,Beja,Beja,uri://ed-fi.org/LanguageDescriptor
byn,Blin,Blin,uri://ed-fi.org/LanguageDescriptor
zbl,Blissymbols,Blissymbols,uri://ed-fi.org/LanguageDescriptor
spa,Spanish,Spanish,uri://ed-fi.org/LanguageDescriptor
nya,Chichewa,Chichewa,uri://ed-fi.org/LanguageDescriptor
zha,Zhuang,Zhuang,uri://ed-fi.org/LanguageDescriptor
rar,Rarotongan,Rarotongan,uri://ed-fi.org/LanguageDescriptor
crh,Crimean Tatar,Crimean Tatar,uri://ed-fi.org/LanguageDescriptor
chp,Chipewyan,Chipewyan,uri://ed-fi.org/LanguageDescriptor
div,Divehi,Divehi,uri://ed-fi.org/LanguageDescriptor
zza,Zaza,Zaza,uri://ed-fi.org/LanguageDescriptor
bin,Bini,Bini,uri://ed-fi.org/LanguageDescriptor
dut,Dutch,Dutch,uri://ed-fi.org/LanguageDescriptor
kik,Kikuyu,Kikuyu,uri://ed-fi.org/LanguageDescriptor
kal,Kalaallisut,Kalaallisut,uri://ed-fi.org/LanguageDescriptor
hat,Haitian,Haitian,uri://ed-fi.org/LanguageDescriptor
arc,Official Aramaic (700-300 BCE),Official Aramaic (700-300 BCE),uri://ed-fi.org/LanguageDescriptor
kac,Kachin,Kachin,uri://ed-fi.org/LanguageDescriptor
pam,Pampanga,Pampanga,uri://ed-fi.org/LanguageDescriptor
kua,Kuanyama,Kuanyama,uri://ed-fi.org/LanguageDescriptor
kir,Kirghiz,Kirghiz,uri://ed-fi.org/LanguageDescriptor
ltz,Luxembourgish,Luxembourgish,uri://ed-fi.org/LanguageDescriptor
lim,Limburgan,Limburgan,uri://ed-fi.org/LanguageDescriptor
nds,Low German,Low German,uri://ed-fi.org/LanguageDescriptor
arn,Mapudungun,Mapudungun,uri://ed-fi.org/LanguageDescriptor
mic,Mi'kmaq,Mi'kmaq,uri://ed-fi.org/LanguageDescriptor
hmn,Hmong,Hmong,uri://ed-fi.org/LanguageDescriptor
nav,Navajo,Navajo,uri://ed-fi.org/LanguageDescriptor
new,Nepal Bhasa,Nepal Bhasa,uri://ed-fi.org/LanguageDescriptor
nde,"""Ndebele, North""","""Ndebele, North""",uri://ed-fi.org/LanguageDescriptor
nob,"""Bokmål, Norwegian""","""Bokmål, Norwegian""",uri://ed-fi.org/LanguageDescriptor
iii,Sichuan Yi,Sichuan Yi,uri://ed-fi.org/LanguageDescriptor
nno,Norwegian Nynorsk,Norwegian Nynorsk,uri://ed-fi.org/LanguageDescriptor
ile,Interlingue,Interlingue,uri://ed-fi.org/LanguageDescriptor
pro,"""Provençal, Old (to 1500)""","""Provençal, Old (to 1500)""",uri://ed-fi.org/LanguageDescriptor
xal,Kalmyk,Kalmyk,uri://ed-fi.org/LanguageDescriptor
nwc,Classical Newari,Classical Newari,uri://ed-fi.org/LanguageDescriptor
chu,Church Slavic,Church Slavic,uri://ed-fi.org/LanguageDescriptor
oss,Ossetian,Ossetian,uri://ed-fi.org/LanguageDescriptor
pus,Pushto,Pushto,uri://ed-fi.org/LanguageDescriptor
fil,Filipino,Filipino,uri://ed-fi.org/LanguageDescriptor
pan,Panjabi,Panjabi,uri://ed-fi.org/LanguageDescriptor
kho,Khotanese,Khotanese,uri://ed-fi.org/LanguageDescriptor
gla,Gaelic,Gaelic,uri://ed-fi.org/LanguageDescriptor
nso,Pedi,Pedi,uri://ed-fi.org/LanguageDescriptor
sin,Sinhala,Sinhala,uri://ed-fi.org/LanguageDescriptor
nbl,"""Ndebele, South""","""Ndebele, South""",uri://ed-fi.org/LanguageDescriptor
tlh,Klingon,Klingon,uri://ed-fi.org/LanguageDescriptor
uig,Uighur,Uighur,uri://ed-fi.org/LanguageDescriptor
cat,Catalan,Catalan,uri://ed-fi.org/LanguageDescriptor
him,Himachali languages,Himachali languages,uri://ed-fi.org/LanguageDescriptor
wal,Wolaitta,Wolaitta,uri://ed-fi.org/LanguageDescriptor
aar,Afar,Afar,uri://ed-fi.org/LanguageDescriptor
ace,Achinese,Achinese,uri://ed-fi.org/LanguageDescriptor
ada,Adangme,Adangme,uri://ed-fi.org/LanguageDescriptor
afa,Afro-Asiatic languages,Afro-Asiatic languages,uri://ed-fi.org/LanguageDescriptor
afr,Afrikaans,Afrikaans,uri://ed-fi.org/LanguageDescriptor
aka,Akan,Akan,uri://ed-fi.org/LanguageDescriptor
alb,Albanian,Albanian,uri://ed-fi.org/LanguageDescriptor
alg,Algonquian languages,Algonquian languages,uri://ed-fi.org/LanguageDescriptor
amh,Amharic,Amharic,uri://ed-fi.org/LanguageDescriptor
anp,Angika,Angika,uri://ed-fi.org/LanguageDescriptor
ara,Arabic,Arabic,uri://ed-fi.org/LanguageDescriptor
arg,Aragonese,Aragonese,uri://ed-fi.org/LanguageDescriptor
art,Artificial languages,Artificial languages,uri://ed-fi.org/LanguageDescriptor
asm,Assamese,Assamese,uri://ed-fi.org/LanguageDescriptor
ath,Athapascan languages,Athapascan languages,uri://ed-fi.org/LanguageDescriptor
ava,Avaric,Avaric,uri://ed-fi.org/LanguageDescriptor
awa,Awadhi,Awadhi,uri://ed-fi.org/LanguageDescriptor
aze,Azerbaijani,Azerbaijani,uri://ed-fi.org/LanguageDescriptor
bai,Bamileke languages,Bamileke languages,uri://ed-fi.org/LanguageDescriptor
bal,Baluchi,Baluchi,uri://ed-fi.org/LanguageDescriptor
ban,Balinese,Balinese,uri://ed-fi.org/LanguageDescriptor
bas,Basa,Basa,uri://ed-fi.org/LanguageDescriptor
bem,Bemba,Bemba,uri://ed-fi.org/LanguageDescriptor
ber,Berber languages,Berber languages,uri://ed-fi.org/LanguageDescriptor
bih,Bihari languages,Bihari languages,uri://ed-fi.org/LanguageDescriptor
bla,Siksika,Siksika,uri://ed-fi.org/LanguageDescriptor
bos,Bosnian,Bosnian,uri://ed-fi.org/LanguageDescriptor
bre,Breton,Breton,uri://ed-fi.org/LanguageDescriptor
bua,Buriat,Buriat,uri://ed-fi.org/LanguageDescriptor
bul,Bulgarian,Bulgarian,uri://ed-fi.org/LanguageDescriptor
cai,Central American Indian languages,Central American Indian languages,uri://ed-fi.org/LanguageDescriptor
ceb,Cebuano,Cebuano,uri://ed-fi.org/LanguageDescriptor
cha,Chamorro,Chamorro,uri://ed-fi.org/LanguageDescriptor
che,Chechen,Chechen,uri://ed-fi.org/LanguageDescriptor
chi,Chinese,Chinese,uri://ed-fi.org/LanguageDescriptor
chm,Mari,Mari,uri://ed-fi.org/LanguageDescriptor
cho,Choctaw,Choctaw,uri://ed-fi.org/LanguageDescriptor
chr,Cherokee,Cherokee,uri://ed-fi.org/LanguageDescriptor
chv,Chuvash,Chuvash,uri://ed-fi.org/LanguageDescriptor
cmc,Chamic languages,Chamic languages,uri://ed-fi.org/LanguageDescriptor
cor,Cornish,Cornish,uri://ed-fi.org/LanguageDescriptor
cpe,"""Creoles and pidgins, English based""","""Creoles and pidgins, English based""",uri://ed-fi.org/LanguageDescriptor
cpp,"""Creoles and pidgins, Portuguese-based""","""Creoles and pidgins, Portuguese-based""",uri://ed-fi.org/LanguageDescriptor
csb,Kashubian,Kashubian,uri://ed-fi.org/LanguageDescriptor
cze,Czech,Czech,uri://ed-fi.org/LanguageDescriptor
dan,Danish,Danish,uri://ed-fi.org/LanguageDescriptor
day,Land Dayak languages,Land Dayak languages,uri://ed-fi.org/LanguageDescriptor
den,Slave (Athapascan),Slave (Athapascan),uri://ed-fi.org/LanguageDescriptor
din,Dinka,Dinka,uri://ed-fi.org/LanguageDescriptor
doi,Dogri,Dogri,uri://ed-fi.org/LanguageDescriptor
dsb,Lower Sorbian,Lower Sorbian,uri://ed-fi.org/LanguageDescriptor
dum,"""Dutch, Middle (ca.1050-1350)""","""Dutch, Middle (ca.1050-1350)""",uri://ed-fi.org/LanguageDescriptor
dyu,Dyula,Dyula,uri://ed-fi.org/LanguageDescriptor
efi,Efik,Efik,uri://ed-fi.org/LanguageDescriptor
eka,Ekajuk,Ekajuk,uri://ed-fi.org/LanguageDescriptor
eng,English,English,uri://ed-fi.org/LanguageDescriptor
epo,Esperanto,Esperanto,uri://ed-fi.org/LanguageDescriptor
ewe,Ewe,Ewe,uri://ed-fi.org/LanguageDescriptor
fan,Fang,Fang,uri://ed-fi.org/LanguageDescriptor
fat,Fanti,Fanti,uri://ed-fi.org/LanguageDescriptor
fiu,Finno-Ugrian languages,Finno-Ugrian languages,uri://ed-fi.org/LanguageDescriptor
fre,French,French,uri://ed-fi.org/LanguageDescriptor
fro,"""French, Old (842-ca.1400)""","""French, Old (842-ca.1400)""",uri://ed-fi.org/LanguageDescriptor
frs,Eastern Frisian,Eastern Frisian,uri://ed-fi.org/LanguageDescriptor
ful,Fulah,Fulah,uri://ed-fi.org/LanguageDescriptor
gaa,Ga,Ga,uri://ed-fi.org/LanguageDescriptor
gba,Gbaya,Gbaya,uri://ed-fi.org/LanguageDescriptor
geo,Georgian,Georgian,uri://ed-fi.org/LanguageDescriptor
gez,Geez,Geez,uri://ed-fi.org/LanguageDescriptor
glg,Galician,Galician,uri://ed-fi.org/LanguageDescriptor
gmh,"""German, Middle High (ca.1050-1500)""","""German, Middle High (ca.1050-1500)""",uri://ed-fi.org/LanguageDescriptor
gon,Gondi,Gondi,uri://ed-fi.org/LanguageDescriptor
got,Gothic,Gothic,uri://ed-fi.org/LanguageDescriptor
grc,"""Greek, Ancient (to 1453)""","""Greek, Ancient (to 1453)""",uri://ed-fi.org/LanguageDescriptor
grn,Guarani,Guarani,uri://ed-fi.org/LanguageDescriptor
guj,Gujarati,Gujarati,uri://ed-fi.org/LanguageDescriptor
hai,Haida,Haida,uri://ed-fi.org/LanguageDescriptor
hau,Hausa,Hausa,uri://ed-fi.org/LanguageDescriptor
heb,Hebrew,Hebrew,uri://ed-fi.org/LanguageDescriptor
hil,Hiligaynon,Hiligaynon,uri://ed-fi.org/LanguageDescriptor
hin,Hindi,Hindi,uri://ed-fi.org/LanguageDescriptor
hrv,Croatian,Croatian,uri://ed-fi.org/LanguageDescriptor
hun,Hungarian,Hungarian,uri://ed-fi.org/LanguageDescriptor
iba,Iban,Iban,uri://ed-fi.org/LanguageDescriptor
ice,Icelandic,Icelandic,uri://ed-fi.org/LanguageDescriptor
iku,Inuktitut,Inuktitut,uri://ed-fi.org/LanguageDescriptor
ilo,Iloko,Iloko,uri://ed-fi.org/LanguageDescriptor
inc,Indic languages,Indic languages,uri://ed-fi.org/LanguageDescriptor
ine,Indo-European languages,Indo-European languages,uri://ed-fi.org/LanguageDescriptor
ipk,Inupiaq,Inupiaq,uri://ed-fi.org/LanguageDescriptor
iro,Iroquoian languages,Iroquoian languages,uri://ed-fi.org/LanguageDescriptor
jav,Javanese,Javanese,uri://ed-fi.org/LanguageDescriptor
jpn,Japanese,Japanese,uri://ed-fi.org/LanguageDescriptor
jrb,Judeo-Arabic,Judeo-Arabic,uri://ed-fi.org/LanguageDescriptor
kab,Kabyle,Kabyle,uri://ed-fi.org/LanguageDescriptor
kan,Kannada,Kannada,uri://ed-fi.org/LanguageDescriptor
kas,Kashmiri,Kashmiri,uri://ed-fi.org/LanguageDescriptor
kaw,Kawi,Kawi,uri://ed-fi.org/LanguageDescriptor
kbd,Kabardian,Kabardian,uri://ed-fi.org/LanguageDescriptor
khi,Khoisan languages,Khoisan languages,uri://ed-fi.org/LanguageDescriptor
kin,Kinyarwanda,Kinyarwanda,uri://ed-fi.org/LanguageDescriptor
kmb,Kimbundu,Kimbundu,uri://ed-fi.org/LanguageDescriptor
kom,Komi,Komi,uri://ed-fi.org/LanguageDescriptor
kor,Korean,Korean,uri://ed-fi.org/LanguageDescriptor
kpe,Kpelle,Kpelle,uri://ed-fi.org/LanguageDescriptor
krl,Karelian,Karelian,uri://ed-fi.org/LanguageDescriptor
kru,Kurukh,Kurukh,uri://ed-fi.org/LanguageDescriptor
kum,Kumyk,Kumyk,uri://ed-fi.org/LanguageDescriptor
kut,Kutenai,Kutenai,uri://ed-fi.org/LanguageDescriptor
lah,Lahnda,Lahnda,uri://ed-fi.org/LanguageDescriptor
lao,Lao,Lao,uri://ed-fi.org/LanguageDescriptor
lav,Latvian,Latvian,uri://ed-fi.org/LanguageDescriptor
lit,Lithuanian,Lithuanian,uri://ed-fi.org/LanguageDescriptor
loz,Lozi,Lozi,uri://ed-fi.org/LanguageDescriptor
