CodeValue,ShortDescription,Description,Namespace
Certification Received,Certification Received,Certification Received,uri://ed-fi.org/PostSecondaryEventCategoryDescriptor
College Acceptance,College Acceptance,College Acceptance,uri://ed-fi.org/PostSecondaryEventCategoryDescriptor
College Application,College Application,College Application,uri://ed-fi.org/PostSecondaryEventCategoryDescriptor
College Degree Received,College Degree Received,College Degree Received,uri://ed-fi.org/PostSecondaryEventCategoryDescriptor
College Enrollment,College Enrollment,College Enrollment,uri://ed-fi.org/PostSecondaryEventCategoryDescriptor
College Exit Date,College Exit Date,College Exit Date,uri://ed-fi.org/PostSecondaryEventCategoryDescriptor
College Selection,College Selection,College Selection,uri://ed-fi.org/PostSecondaryEventCategoryDescriptor
FAFSA Application,FAFSA Application,FAFSA Application,uri://ed-fi.org/PostSecondaryEventCategoryDescriptor
Remedial Enrollment - ELA,Remedial Enrollment - ELA,Remedial Enrollment - ELA,uri://ed-fi.org/PostSecondaryEventCategoryDescriptor
Remedial Enrollment - Math,Remedial Enrollment - Math,Remedial Enrollment - Math,uri://ed-fi.org/PostSecondaryEventCategoryDescriptor
Student Interest,Student Interest,Student Interest,uri://ed-fi.org/PostSecondaryEventCategoryDescriptor
