CodeValue,ShortDescription,Description,Namespace
Died or is permanently incapacitated,Died or is permanently incapacitated,Died or is permanently incapacitated,uri://ed-fi.org/ReasonExitedDescriptor
Discontinued schooling,Discontinued schooling,Discontinued schooling,uri://ed-fi.org/ReasonExitedDescriptor
Graduated with a high school diploma,Graduated with a high school diploma,Graduated with a high school diploma,uri://ed-fi.org/ReasonExitedDescriptor
Moved out of state,Moved out of state,Moved out of state,uri://ed-fi.org/ReasonExitedDescriptor
Other,Other,Other,uri://ed-fi.org/ReasonExitedDescriptor
Reached maximum age,Reached maximum age,Reached maximum age,uri://ed-fi.org/ReasonExitedDescriptor
Received certificate of completion or equivalent,"Received completion certificate, modified diploma, or met IEP requirements","Received certificate of completion, modified diploma, or finished IEP requirements",uri://ed-fi.org/ReasonExitedDescriptor
Suspended or expelled from school,Suspended or expelled from school,Suspended or expelled from school,uri://ed-fi.org/ReasonExitedDescriptor
Transferred to another district or school,Transferred to another district or school,Transferred to another district or school,uri://ed-fi.org/ReasonExitedDescriptor
Unknown reason,Unknown reason,Unknown reason,uri://ed-fi.org/ReasonExitedDescriptor
Withdrawal by a parent (or guardian),Withdrawal by a parent (or guardian),Withdrawal by a parent (or guardian),uri://ed-fi.org/ReasonExitedDescriptor
