CodeValue,ShortDescription,Description,Namespace
Absent,Absent,Absent,uri://ed-fi.org/ReasonNotTestedDescriptor
Alternate assessment administered,Alternate assessment administered,Alternate assessment administered,uri://ed-fi.org/ReasonNotTestedDescriptor
Disruptive behavior,Disruptive behavior,Disruptive behavior,uri://ed-fi.org/ReasonNotTestedDescriptor
Foreign exchange student waiver,Foreign exchange student waiver,Foreign exchange student waiver,uri://ed-fi.org/ReasonNotTestedDescriptor
LEP exempt,LEP exempt,LEP exempt,uri://ed-fi.org/ReasonNotTestedDescriptor
LEP postponement,LEP postponement,LEP postponement,uri://ed-fi.org/ReasonNotTestedDescriptor
Medical waiver,Medical waiver,Medical waiver,uri://ed-fi.org/ReasonNotTestedDescriptor
Not appropriate (ARD decision),Not appropriate (ARD decision),Not appropriate (ARD decision),uri://ed-fi.org/ReasonNotTestedDescriptor
Not tested (ARD decision),Not tested (ARD decision),Not tested (ARD decision),uri://ed-fi.org/ReasonNotTestedDescriptor
Other,Other,Other,uri://ed-fi.org/ReasonNotTestedDescriptor
Parental waiver,Parental waiver,Parental waiver,uri://ed-fi.org/ReasonNotTestedDescriptor
Previously passed the examination,Previously passed the examination,Previously passed the examination,uri://ed-fi.org/ReasonNotTestedDescriptor
Refusal by parent,Refusal by parent,Refusal by parent,uri://ed-fi.org/ReasonNotTestedDescriptor
Refusal by student,Refusal by student,Refusal by student,uri://ed-fi.org/ReasonNotTestedDescriptor
