CodeValue,ShortDescription,Description,Namespace
Instructional Aide,Instructional Aide,Instructional Aide,uri://ed-fi.org/StaffClassificationDescriptor
School Administrator,School Administrator,School Administrator,uri://ed-fi.org/StaffClassificationDescriptor
Librarians/Media Specialists,Librarians/Media Specialists,Librarians/Media Specialists,uri://ed-fi.org/StaffClassificationDescriptor
Substitute Teacher,Substitute Teacher,Substitute Teacher,uri://ed-fi.org/StaffClassificationDescriptor
Counselor,Counselor,Counselor,uri://ed-fi.org/StaffClassificationDescriptor
Principal,Principal,Principal,uri://ed-fi.org/StaffClassificationDescriptor
Teacher,Teacher,Teacher,uri://ed-fi.org/StaffClassificationDescriptor
Assistant Principal,Assistant Principal,Assistant Principal,uri://ed-fi.org/StaffClassificationDescriptor
Operational Support,Operational Support,Operational Support,uri://ed-fi.org/StaffClassificationDescriptor
Superintendent,Superintendent,Superintendent,uri://ed-fi.org/StaffClassificationDescriptor
Instructional Coordinator,Instructional Coordinator,Instructional Coordinator,uri://ed-fi.org/StaffClassificationDescriptor
School Leader,School Leader,School Leader,uri://ed-fi.org/StaffClassificationDescriptor
Assistant Superintendent,Assistant Superintendent,Assistant Superintendent,uri://ed-fi.org/StaffClassificationDescriptor
Other,Other,Other,uri://ed-fi.org/StaffClassificationDescriptor
Support Services Staff,Support Services Staff,Support Services Staff,uri://ed-fi.org/StaffClassificationDescriptor
LEA Specialist,LEA Specialist,LEA Specialist,uri://ed-fi.org/StaffClassificationDescriptor
State Administrator,State Administrator,State Administrator,uri://ed-fi.org/StaffClassificationDescriptor
LEA Administrator,LEA Administrator,LEA Administrator,uri://ed-fi.org/StaffClassificationDescriptor
School Specialist,School Specialist,School Specialist,uri://ed-fi.org/StaffClassificationDescriptor
LEA System Administrator,LEA System Administrator,LEA System Administrator,uri://ed-fi.org/StaffClassificationDescriptor
