CodeValue,ShortDescription,Description,Namespace
AA,AA,AA,uri://ed-fi.org/StateAbbreviationDescriptor
AE,AE,AE,uri://ed-fi.org/StateAbbreviationDescriptor
AK,AK,AK,uri://ed-fi.org/StateAbbreviationDescriptor
AL,AL,AL,uri://ed-fi.org/StateAbbreviationDescriptor
AP,AP,AP,uri://ed-fi.org/StateAbbreviationDescriptor
AR,AR,AR,uri://ed-fi.org/StateAbbreviationDescriptor
AS,AS,AS,uri://ed-fi.org/StateAbbreviationDescriptor
AZ,AZ,AZ,uri://ed-fi.org/StateAbbreviationDescriptor
CA,CA,CA,uri://ed-fi.org/StateAbbreviationDescriptor
CO,CO,CO,uri://ed-fi.org/StateAbbreviationDescriptor
CT,CT,CT,uri://ed-fi.org/StateAbbreviationDescriptor
DC,DC,DC,uri://ed-fi.org/StateAbbreviationDescriptor
DE,DE,DE,uri://ed-fi.org/StateAbbreviationDescriptor
FL,FL,FL,uri://ed-fi.org/StateAbbreviationDescriptor
FM,FM,FM,uri://ed-fi.org/StateAbbreviationDescriptor
GA,GA,GA,uri://ed-fi.org/StateAbbreviationDescriptor
GU,GU,GU,uri://ed-fi.org/StateAbbreviationDescriptor
HI,HI,HI,uri://ed-fi.org/StateAbbreviationDescriptor
IA,IA,IA,uri://ed-fi.org/StateAbbreviationDescriptor
ID,ID,ID,uri://ed-fi.org/StateAbbreviationDescriptor
IL,IL,IL,uri://ed-fi.org/StateAbbreviationDescriptor
IN,IN,IN,uri://ed-fi.org/StateAbbreviationDescriptor
KS,KS,KS,uri://ed-fi.org/StateAbbreviationDescriptor
KY,KY,KY,uri://ed-fi.org/StateAbbreviationDescriptor
LA,LA,LA,uri://ed-fi.org/StateAbbreviationDescriptor
MA,MA,MA,uri://ed-fi.org/StateAbbreviationDescriptor
MD,MD,MD,uri://ed-fi.org/StateAbbreviationDescriptor
ME,ME,ME,uri://ed-fi.org/StateAbbreviationDescriptor
MH,MH,MH,uri://ed-fi.org/StateAbbreviationDescriptor
MI,MI,MI,uri://ed-fi.org/StateAbbreviationDescriptor
MN,MN,MN,uri://ed-fi.org/StateAbbreviationDescriptor
MO,MO,MO,uri://ed-fi.org/StateAbbreviationDescriptor
MP,MP,MP,uri://ed-fi.org/StateAbbreviationDescriptor
MS,MS,MS,uri://ed-fi.org/StateAbbreviationDescriptor
MT,MT,MT,uri://ed-fi.org/StateAbbreviationDescriptor
NC,NC,NC,uri://ed-fi.org/StateAbbreviationDescriptor
ND,ND,ND,uri://ed-fi.org/StateAbbreviationDescriptor
NE,NE,NE,uri://ed-fi.org/StateAbbreviationDescriptor
NH,NH,NH,uri://ed-fi.org/StateAbbreviationDescriptor
NJ,NJ,NJ,uri://ed-fi.org/StateAbbreviationDescriptor
NM,NM,NM,uri://ed-fi.org/StateAbbreviationDescriptor
NV,NV,NV,uri://ed-fi.org/StateAbbreviationDescriptor
NY,NY,NY,uri://ed-fi.org/StateAbbreviationDescriptor
OH,OH,OH,uri://ed-fi.org/StateAbbreviationDescriptor
OK,OK,OK,uri://ed-fi.org/StateAbbreviationDescriptor
OR,OR,OR,uri://ed-fi.org/StateAbbreviationDescriptor
PA,PA,PA,uri://ed-fi.org/StateAbbreviationDescriptor
PR,PR,PR,uri://ed-fi.org/StateAbbreviationDescriptor
PW,PW,PW,uri://ed-fi.org/StateAbbreviationDescriptor
RI,RI,RI,uri://ed-fi.org/StateAbbreviationDescriptor
SC,SC,SC,uri://ed-fi.org/StateAbbreviationDescriptor
SD,SD,SD,uri://ed-fi.org/StateAbbreviationDescriptor
TN,TN,TN,uri://ed-fi.org/StateAbbreviationDescriptor
TX,TX,TX,uri://ed-fi.org/StateAbbreviationDescriptor
UT,UT,UT,uri://ed-fi.org/StateAbbreviationDescriptor
VA,VA,VA,uri://ed-fi.org/StateAbbreviationDescriptor
VI,VI,VI,uri://ed-fi.org/StateAbbreviationDescriptor
VT,VT,VT,uri://ed-fi.org/StateAbbreviationDescriptor
WA,WA,WA,uri://ed-fi.org/StateAbbreviationDescriptor
WI,WI,WI,uri://ed-fi.org/StateAbbreviationDescriptor
WV,WV,WV,uri://ed-fi.org/StateAbbreviationDescriptor
WY,WY,WY,uri://ed-fi.org/StateAbbreviationDescriptor
