CodeValue,ShortDescription,Description,Namespace,TeachingCredentialMap
Emergency,Emergency,Emergency,http://www.ed-fi.org/Descriptor/TeachingCredentialTypeDescriptor.xml,Emergency
Intern,Intern,Intern,http://www.ed-fi.org/Descriptor/TeachingCredentialTypeDescriptor.xml,Intern
Master,Master,Master,http://www.ed-fi.org/Descriptor/TeachingCredentialTypeDescriptor.xml,Master
Nonrenewable,Nonrenewable,Nonrenewable,http://www.ed-fi.org/Descriptor/TeachingCredentialTypeDescriptor.xml,Nonrenewable
Other,Other,Other,http://www.ed-fi.org/Descriptor/TeachingCredentialTypeDescriptor.xml,Other
Paraprofessional,Paraprofessional,Paraprofessional,http://www.ed-fi.org/Descriptor/TeachingCredentialTypeDescriptor.xml,Paraprofessional
Probationary/Initial,Probationary/Initial,Probationary/Initial,http://www.ed-fi.org/Descriptor/TeachingCredentialTypeDescriptor.xml,Probationary/Initial
Professional,Professional,Professional,http://www.ed-fi.org/Descriptor/TeachingCredentialTypeDescriptor.xml,Professional
Provisional,Provisional,Provisional,http://www.ed-fi.org/Descriptor/TeachingCredentialTypeDescriptor.xml,Provisional
Regular/Standard,Regular/Standard,Regular/Standard,http://www.ed-fi.org/Descriptor/TeachingCredentialTypeDescriptor.xml,Regular/Standard
Retired,Retired,Retired,http://www.ed-fi.org/Descriptor/TeachingCredentialTypeDescriptor.xml,Retired
Specialist,Specialist,Specialist,http://www.ed-fi.org/Descriptor/TeachingCredentialTypeDescriptor.xml,Specialist
Substitute,Substitute,Substitute,http://www.ed-fi.org/Descriptor/TeachingCredentialTypeDescriptor.xml,Substitute
Teacher Assistant,Teacher Assistant,Teacher Assistant,http://www.ed-fi.org/Descriptor/TeachingCredentialTypeDescriptor.xml,Teacher Assistant
Temporary,Temporary,Temporary,http://www.ed-fi.org/Descriptor/TeachingCredentialTypeDescriptor.xml,Temporary
