CodeValue,ShortDescription,Description,Namespace
Absentee-Shawnee,Absentee-Shawnee,Absentee-Shawnee Tribe of Indians of Oklahoma,uri://ed-fi.org/TribalAffiliationDescriptor
Afognak,Afognak,Native Village of Afognak,uri://ed-fi.org/TribalAffiliationDescriptor
Agdaagux,Agdaagux,Agdaagux Tribe of King Cove,uri://ed-fi.org/TribalAffiliationDescriptor
Agua Caliente,Agua Caliente,"Agua Caliente Band of Cahuilla Indians of the Agua Caliente Indian Reservation, California",uri://ed-fi.org/TribalAffiliationDescriptor
Ak Chin,Ak Chin,"Ak-Chin Indian Community of the Maricopa (Ak Chin) Indian Reservation, Arizona",uri://ed-fi.org/TribalAffiliationDescriptor
Akhiok,Akhiok,Native Village of Akhiok,uri://ed-fi.org/TribalAffiliationDescriptor
Akiachak,Akiachak,Akiachak Native Community,uri://ed-fi.org/TribalAffiliationDescriptor
Akiak,Akiak,Akiak Native Community,uri://ed-fi.org/TribalAffiliationDescriptor
Akutan,Akutan,Native Village of Akutan,uri://ed-fi.org/TribalAffiliationDescriptor
Alabama-Coushatta,Alabama-Coushatta,Alabama-Coushatta Tribe of Texas,uri://ed-fi.org/TribalAffiliationDescriptor
Alabama-Quassarte,Alabama-Quassarte,Alabama-Quassarte Tribal Town,uri://ed-fi.org/TribalAffiliationDescriptor
Alakanuk,Alakanuk,Village of Alakanuk,uri://ed-fi.org/TribalAffiliationDescriptor
Alatna,Alatna,Alatna Village,uri://ed-fi.org/TribalAffiliationDescriptor
Aleknagik,Aleknagik,Native Village of Aleknagik,uri://ed-fi.org/TribalAffiliationDescriptor
Algaaciq,Algaaciq,Algaaciq Native Village (St. Mary's),uri://ed-fi.org/TribalAffiliationDescriptor
Allakaket,Allakaket,Allakaket Village,uri://ed-fi.org/TribalAffiliationDescriptor
Alturas,Alturas,"Alturas Indian Rancheria, CA",uri://ed-fi.org/TribalAffiliationDescriptor
Alutiiq Tribe of Old Harbor,Alutiiq Tribe of Old Harbor,Alutiiq Tribe of Old Harbor,uri://ed-fi.org/TribalAffiliationDescriptor
Ambler,Ambler,Native Village of Ambler,uri://ed-fi.org/TribalAffiliationDescriptor
Anaktuvuk Pass,Anaktuvuk Pass,Village of Anaktuvuk Pass,uri://ed-fi.org/TribalAffiliationDescriptor
Andreafski,Andreafski,Yupiit of Andreafski,uri://ed-fi.org/TribalAffiliationDescriptor
Angoon,Angoon,Angoon Community Association,uri://ed-fi.org/TribalAffiliationDescriptor
Aniak,Aniak,Village of Aniak,uri://ed-fi.org/TribalAffiliationDescriptor
Anvik,Anvik,Anvik Village,uri://ed-fi.org/TribalAffiliationDescriptor
