LearningStandardId,Description,CourseTitle,Namespace,ContentStandard.Title,GradeLevel.CodeValue,GradeLevel.Namespace,AcademicSubject.CodeValue,AcademicSubject.Namespace
111.32.NA.A.1.A,describe independent and dependent quantities in functional relationships;,Algebra I,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Ninth grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.32.NA.A.1.B,gather and record data and use data sets to determine functional relationships between quantities;,Algebra I,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Ninth grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.32.NA.A.1.C,describe functional relationships for given problem situations and write equations or inequalities to answer questions arising from the situations;,Algebra I,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Ninth grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.32.NA.A.1.D,"represent relationships among quantities using concrete models, tables, graphs, diagrams, verbal descriptions, equations, and inequalities",Algebra I,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Ninth grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.32.NA.A.1.E,"interpret and make decisions, predictions, and critical judgments from functional relationships.",Algebra I,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Ninth grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.32.NA.A.2.A,identify and sketch the general forms of linear (y = x) and quadratic (y = x2) parent functions;,Algebra I,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Ninth grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.32.NA.A.2.B,"identify mathematical domains and ranges and determine reasonable domain and range values for given situations, both continuous and discrete;",Algebra I,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Ninth grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.32.NA.A.2.C,interpret situations in terms of given graphs or creates situations that fit given graphs,Algebra I,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Ninth grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.32.NA.A.2.D,"collect and organize data, make and interpret scatterplots (including recognizing positive, negative, or no correlation for data approximating linear situations), and model, predict, and make decisions and critical judgments in problem situations.",Algebra I,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Ninth grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.32.NA.A.3.A,use symbols to represent unknowns and variables,Algebra I,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Ninth grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.32.NA.A.3.B,look for patterns and represent generalizations algebraically.,Algebra I,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Ninth grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.32.NA.A.4.A,"find specific function values, simplify polynomial expressions, transform and solve equations, and factor as necessary in problem situations;",Algebra I,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Ninth grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.32.NA.A.4.B,"use the commutative, associative, and distributive properties to simplify algebraic expressions",Algebra I,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Ninth grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.32.NA.A.4.C,"connect equation notation with function notation, such as y = x + 1 and f(x) = x + 1.",Algebra I,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Ninth grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.32.NA.A.5.A,determine whether or not given situations can be represented by linear functions;,Algebra I,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Ninth grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.32.NA.A.5.B,determine the domain and range for linear functions in given situations,Algebra I,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Ninth grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.32.NA.A.5.C,"use, translate, and make connections among algebraic, tabular, graphical, or verbal descriptions of linear functions.",Algebra I,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Ninth grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.32.NA.A.6.A,"develop the concept of slope as rate of change and determine slopes from graphs, tables, and algebraic representations;",Algebra I,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Ninth grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.32.NA.A.6.B,"interpret the meaning of slope and intercepts in situations using data, symbolic representations, or graphs;",Algebra I,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Ninth grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.32.NA.A.6.C,"investigate, describe, and predict the effects of changes in m and b on the graph of y = mx + b;",Algebra I,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Ninth grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.32.NA.A.6.D,"graph and write equations of lines given characteristics such as two points, a point and a slope, or a slope and y intercept;",Algebra I,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Ninth grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.32.NA.A.6.E,"determine the intercepts of the graphs of linear functions and zeros of linear functions from graphs, tables, and algebraic representations;",Algebra I,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Ninth grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.32.NA.A.6.F,interpret and predict the effects of changing slope and y-intercept in applied situations,Algebra I,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Ninth grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.32.NA.A.6.G,relate direct variation to linear functions and solve problems involving proportional change.,Algebra I,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Ninth grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.32.NA.A.7.A,analyze situations involving linear functions and formulate linear equations or inequalities to solve problems;,Algebra I,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Ninth grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.32.NA.A.7.B,"investigate methods for solving linear equations and inequalities using concrete models, graphs, and the properties of equality, select a method, and solve the equations and inequalities",Algebra I,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Ninth grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.32.NA.A.7.C,interpret and determine the reasonableness of solutions to linear equations and inequalities.,Algebra I,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Ninth grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.32.NA.A.8.A,analyze situations and formulate systems of linear equations in two unknowns to solve problems;,Algebra I,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Ninth grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.32.NA.A.8.B,"solve systems of linear equations using concrete models, graphs, tables, and algebraic methods",Algebra I,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Ninth grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.32.NA.A.8.C,interpret and determine the reasonableness of solutions to systems of linear equations.,Algebra I,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Ninth grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.32.NA.A.9.A,determine the domain and range for quadratic functions in given situations;,Algebra I,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Ninth grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
